"","Salt_Marsh","Season","Year_0","Time_Since_Restoration","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopyo_Height_cm_mean","Thatch_cm_mean"
"56","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool",1.456,5.7,15.6,84.4,74.4,0,3.1,24.4,NA
"57","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool",1.49,33.3,55.5,44.5,9,1.1,1.9,18.1,NA
"58","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","No Action","Mesotidal","Pool",NA,19.2,60.1,39.9,15.3,0.2,1.9,22,1.2
"59","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Reference","Mesotidal","Pool",NA,5.9,20.5,79.5,68.8,0,3.8,27,4.3
"60","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Runnel","Mesotidal","Pool",NA,18.9,44.5,55.5,24,8.9,3.2,25.4,1.8
"61","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","No Action","Microtidal","Pool",NA,35.6,32,68,24.5,3.8,2.9,33.6,0.9
"62","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Reference","Microtidal","Pool",NA,12.1,31.6,68.4,54.1,0,3.7,22.9,3.2
"63","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool",NA,20.8,50.4,49.6,21.1,7,2.4,23.8,1.4
"64","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","No Action","Microtidal","Panne",NA,29.8,46,54,24.2,0.4,1.9,25.2,1.8
"65","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Reference","Microtidal","Panne",NA,14.3,7.4,92.6,78.3,0,2.1,46.6,7.8
"66","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne",NA,31.7,22.9,77.1,44.6,0,2.7,33.6,3.3
"67","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","No Action","Microtidal","Panne",NA,19.8,62.9,37.1,17.2,0,1.1,18.5,2.4
"68","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Reference","Microtidal","Panne",NA,22,23,77,47.6,0,4,31.7,3.9
"69","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Runnel","Microtidal","Panne",NA,39.1,22.8,77.2,31.8,0,2.6,26.9,2.9
"70","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","No Action","Mesotidal","Pool",NA,26.8,32.5,67.5,35.9,6.7,2.3,22.6,4
"71","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Reference","Mesotidal","Pool",NA,3.2,9,91,86.2,0,2.6,20.3,6.2
"72","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool",NA,40.1,29.9,70.1,26,1.3,2.4,49.4,2.8
"73","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne",NA,43.1,33.3,66.7,23.3,0,2,41.2,2.6
"74","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne",NA,0.6,24.9,75.1,73.7,0,2.9,27.1,3.2
"75","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne",NA,5.4,25.2,74.8,63.5,0,2.6,43.2,4.9
"76","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","No Action","Microtidal","Pool",NA,24.8,65.7,34.3,7.2,0,1.3,14.4,1.6
"77","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Reference","Microtidal","Pool",NA,14.6,15,85,68.7,0,2.9,27.9,4.1
"78","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool",NA,28,42.8,57.2,29.2,0,1.3,21.1,2.9
"79","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","No Action","Microtidal","Pool",NA,21.2,58.3,41.7,19.3,0,1.1,18.4,2.2
"80","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Reference","Microtidal","Pool",NA,24.4,41.8,58.2,33.4,0,1.9,23.3,3.8
"81","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Runnel","Microtidal","Pool",NA,34.2,28.3,71.7,32.8,0,2.9,26.2,3.1
"82","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne",NA,1.6,6.4,93.6,67.7,0,4,17.2,4.9
"83","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",NA,25.2,25.9,74.1,48.1,0.2,2.7,42.3,4.7
"84","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne",NA,41.4,41,59,13.6,7.5,2.3,31.9,1.8
"85","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne",NA,6.1,17.2,82.8,74.3,0,2.7,22.6,4.2
"86","Parker River Estuary",2024,2017,7,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",NA,30.9,29.1,70.9,32.1,0,4.9,48.2,4.9
"87","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","No Action","Microtidal","Pool",NA,16.8,59.8,40.2,18.9,17.2,2.1,27,1.8
"88","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Reference","Microtidal","Pool",NA,10.5,26.5,73.5,57.2,1.6,4.4,26,5.8
"89","Salt Ponds Region",2024,2017,7,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool",NA,36.3,50.7,49.3,11.4,20.7,1.8,29.8,0
"90","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Reference","Microtidal","Panne",NA,1.1,4.8,95.2,78,0,3.7,38.6,1.2
"91","Taunton River",2024,2017,7,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne",NA,0,10.3,89.7,62.8,0,3.9,57.8,4.8
"92","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Reference","Microtidal","Pool",NA,5.2,19.4,80.6,74.4,0,2.6,31.6,3.8
"93","Narragansett Bay",2024,2018,6,"Sapowet","Rhode Island","Runnel","Microtidal","Pool",NA,43.2,32.2,67.8,21.6,0,2.7,36.9,2.3
"94","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","No Action","Microtidal","Pool",NA,21.7,61.7,38.3,15,1.7,1.7,18.7,3.7
"95","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Reference","Microtidal","Pool",NA,30.3,22,78,43.4,0,2.8,33.2,4.8
"96","Salt Ponds Region",2024,2018,6,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool",NA,33.6,46.4,53.6,14.6,1.4,1.9,15.6,1.1
"97","Parker River Estuary",2024,2019,5,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne",NA,42.3,36.5,63.5,19.8,0,2.4,39.8,2.6
"98","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne",NA,31,46.4,53.6,8.1,0,1.8,50.1,6.5
"99","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne",NA,2.6,10.1,89.9,84.3,0,3.8,32,5.9
"100","Parker River Estuary",2024,2020,4,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne",NA,44.7,26.9,73.1,25.9,0,2.5,34.3,8.4
"101","Great Marsh",2024,2022,2,"Essex","Massachusetts","No Action","Mesotidal","Pool",NA,24.6,38.2,61.8,32.6,0.2,2.5,25.3,2
"102","Great Marsh",2024,2022,2,"Essex","Massachusetts","Reference","Mesotidal","Pool",NA,3.3,32.2,67.8,63.9,0,2.3,22.6,4.6
"103","Great Marsh",2024,2022,2,"Essex","Massachusetts","Runnel","Mesotidal","Pool",NA,49.3,35.4,64.6,9,0.5,2.5,38.5,0.9
"104","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","No Action","Mesotidal","Panne",NA,29.8,51.8,48.2,17.6,3.2,1.9,18.8,NA
"105","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Reference","Mesotidal","Panne",NA,6.9,12.3,87.7,79.9,0,3.2,20.7,NA
"106","Great Marsh",2024,2022,2,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne",NA,35.8,57.6,42.4,5.8,2.5,1.9,20.3,NA
"107","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","No Action","Microtidal","Pool",NA,27.8,51.3,48.7,20.6,1.5,1.8,27.1,1.9
"108","Narragansett Bay",2024,2022,2,"Sapowet","Rhode Island","Runnel","Microtidal","Pool",NA,24.1,55.9,44.1,18.3,1.1,2,30.7,1.9
"109","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","No Action","Mesotidal","Panne",NA,49.5,40.3,59.7,9.5,0,1.6,29.9,NA
"110","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Reference","Mesotidal","Panne",NA,6.6,9.3,90.7,79.8,0,3.5,23.5,NA
"111","Parker River Estuary",2024,2022,2,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne",NA,45.5,34,66,18.7,0.3,2.2,35.1,NA
"112","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool",NA,36.4,32.8,67.2,28.4,1.4,2.2,38.9,2.1
"113","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool",NA,4.2,14.1,85.9,76.5,0,3.8,22.7,5.4
"114","Parker River Estuary",2024,2022,2,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool",NA,28.1,45.9,54.1,22.2,3.9,2.2,35.6,2.6
