"","Site","Site_Treatment_ID","Sub_Site","Season","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","abiotic_cover_RPI","canopy_height_RPI","high_marsh_grams_RPI","SPALT_RPI","RPI_total"
"40","Potters Pond","Potters Pond Runnel","",2024,6,"Microtidal","Pool",0.39,0,0,1,0.35
"41","Round Marsh","Round Marsh Runnel","",2021,7,"Microtidal","Panne",0.22,0.28,0.49,0.68,0.42
"42","Round Marsh","Round Marsh Runnel","",2024,10,"Microtidal","Panne",0.6,0.39,0.38,0,0.34
"43","Sapowet","Sapowet Runnel","North",2022,4,"Microtidal","Pool",0.02,0,0.21,0.6,0.21
"44","Sapowet","Sapowet Runnel","North",2024,6,"Microtidal","Pool",0.6,1,0.02,0,0.41
"45","Sapowet","Sapowet Runnel","South",2022,0,"Microtidal","Pool",0.51,0.02,0.01,0,0.14
"46","Sapowet","Sapowet Runnel","South",2024,2,"Microtidal","Pool",0,0.8,0,0.16,0.24
"47","Weekapaug","Weekapaug Runnel","",2021,4,"Microtidal","Pool",0.35,0,0,0,0.09
"48","Weekapaug","Weekapaug Runnel","",2024,7,"Microtidal","Pool",0.27,0,0,0,0.07
"49","Winnapaug","Winnapaug Runnel","",2021,8,"Microtidal","Pool",0.49,1,0,0,0.37
"50","Winnapaug","Winnapaug Runnel","",2024,11,"Microtidal","Pool",0,0.77,0.04,0.47,0.32
