"","Salt_Marsh","Site_Treatment","Season","Year_0","Time_Since_Restoration","Site","Sub_Site","Site_Treatment_ID","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"49","Great Marsh","South Runnel",2022,2022,0,"Essex","South","Essex - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.234,32,28.2,71.8,38.8,1.4,2.2,22.6
"50","Great Marsh","No Action",2022,2022,0,"Ipswich","","Ipswich - No Action","Massachusetts","No Action","Mesotidal","Panne",1.257,26.2,54.2,45.8,18.9,1.2,1.8,15.2
"51","Great Marsh","Reference",2022,2022,0,"Ipswich","","Ipswich - Reference","Massachusetts","Reference","Mesotidal","Panne",1.203,18.2,17.9,82.1,62.8,0.7,3.6,20
"52","Great Marsh","Runnel",2022,2022,0,"Ipswich","","Ipswich - Runnel","Massachusetts","Runnel","Mesotidal","Panne",1.327,27.1,60.6,39.4,9,10.4,1.6,11.8
"53","Narragansett Bay","No Action",2022,2022,0,"Sapowet","South","Sapowet - No Action","Rhode Island","No Action","Microtidal","Pool",0.666,28.3,51.7,48.3,19.8,7,1.6,20.6
"54","Narragansett Bay","Runnel",2022,2022,0,"Sapowet","South","Sapowet - Runnel","Rhode Island","Runnel","Microtidal","Pool",0.668,39.9,33.7,66.3,20.6,0,2,20.7
"55","Parker River Estuary","No Action",2022,2022,0,"Kents Island","","Kents Island - No Action","Massachusetts","No Action","Mesotidal","Panne",1.42,30.3,58.5,41.5,9.9,0,1.7,20.1
"56","Parker River Estuary","Reference",2022,2022,0,"Kents Island","","Kents Island - Reference","Massachusetts","Reference","Mesotidal","Panne",1.284,5.6,6.5,93.5,84,0,3.5,23.7
"57","Parker River Estuary","Runnel",2022,2022,0,"Kents Island","","Kents Island - Runnel","Massachusetts","Runnel","Mesotidal","Panne",1.365,36.1,46.2,53.8,15,7.6,2,23
"58","Parker River Estuary","North Reference",2022,2022,0,"Plum Island - PLHA","North","Plum Island - PLHA - North Reference","Massachusetts","Reference","Mesotidal","Pool",1.46,3.7,9.6,90.4,79,0,3.2,24.2
"59","Parker River Estuary","North Runnel",2022,2022,0,"Plum Island - PLHA","North","Plum Island - PLHA - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.482,39.6,53.5,46.5,3.3,1.8,2.2,21.8
"60","Parker River Estuary","No Action",2022,2022,0,"Plum Island - PLHA","South","Plum Island - PLHA - No Action","Massachusetts","No Action","Mesotidal","Pool",1.393,39.2,32.7,67.3,28.1,0.8,1.4,23.7
"61","Parker River Estuary","South Reference",2022,2022,0,"Plum Island - PLHA","South","Plum Island - PLHA - South Reference","Massachusetts","Reference","Mesotidal","Pool",1.451,7.6,21.6,78.4,69.8,0,3.1,24.6
"62","Parker River Estuary","South Runnel",2022,2022,0,"Plum Island - PLHA","South","Plum Island - PLHA - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",1.502,23.4,58.6,41.4,17.9,0,1.4,12.1
"63","Ogunquit Marsh","No Action",2024,2011,13,"Moody Marsh","","Moody Marsh - No Action","Maine","No Action","Mesotidal","Pool",NA,19.2,60.1,39.9,15.3,0.2,1.9,22
"64","Ogunquit Marsh","Reference",2024,2011,13,"Moody Marsh","","Moody Marsh - Reference","Maine","Reference","Mesotidal","Pool",NA,5.9,20.5,79.5,68.8,0,3.8,27
"65","Ogunquit Marsh","Runnel",2024,2011,13,"Moody Marsh","","Moody Marsh - Runnel","Maine","Runnel","Mesotidal","Pool",NA,18.9,44.5,55.5,24,8.9,3.2,25.4
"66","Salt Ponds Region","No Action",2024,2013,11,"Winnapaug","","Winnapaug - No Action","Rhode Island","No Action","Microtidal","Pool",NA,35.6,32,68,24.5,3.8,2.9,33.6
"67","Salt Ponds Region","Reference",2024,2013,11,"Winnapaug","","Winnapaug - Reference","Rhode Island","Reference","Microtidal","Pool",NA,12.1,31.6,68.4,54.1,0,3.7,22.9
"68","Salt Ponds Region","Runnel",2024,2013,11,"Winnapaug","","Winnapaug - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,20.8,50.4,49.6,21.1,7,2.4,23.8
"69","Narragansett Bay","No Action",2024,2014,10,"Round Marsh","","Round Marsh - No Action","Rhode Island","No Action","Microtidal","Panne",NA,29.8,46,54,24.2,0.4,1.9,25.2
"70","Narragansett Bay","Reference",2024,2014,10,"Round Marsh","","Round Marsh - Reference","Rhode Island","Reference","Microtidal","Panne",NA,14.3,7.4,92.6,78.3,0,2.1,46.6
"71","Narragansett Bay","Runnel",2024,2014,10,"Round Marsh","","Round Marsh - Runnel","Rhode Island","Runnel","Microtidal","Panne",NA,31.7,22.9,77.1,44.6,0,2.7,33.6
"72","Narrow River Estuary","No Action",2024,2015,9,"Canonchet","","Canonchet - No Action","Rhode Island","No Action","Microtidal","Panne",NA,19.8,62.9,37.1,17.2,0,1.1,18.5
"73","Narrow River Estuary","Reference",2024,2015,9,"Canonchet","","Canonchet - Reference","Rhode Island","Reference","Microtidal","Panne",NA,22,23,77,47.6,0,4,31.7
"74","Narrow River Estuary","Runnel",2024,2015,9,"Canonchet","","Canonchet - Runnel","Rhode Island","Runnel","Microtidal","Panne",NA,39.1,22.8,77.2,31.8,0,2.6,26.9
"75","Parker River Estuary","No Action",2024,2015,9,"Pine Island","North","Pine Island - No Action","Massachusetts","No Action","Mesotidal","Pool",NA,26.8,32.5,67.5,35.9,6.7,2.3,22.6
"76","Parker River Estuary","North Reference",2024,2015,9,"Pine Island","North","Pine Island - North Reference","Massachusetts","Reference","Mesotidal","Pool",NA,0,7.5,92.5,91.7,0,2.5,20.2
"77","Parker River Estuary","North Runnel",2024,2015,9,"Pine Island","North","Pine Island - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,18.9,25.4,74.6,50,2.5,3,30.2
"78","Parker River Estuary","South Reference",2024,2015,9,"Pine Island","South","Pine Island - South Reference","Massachusetts","Reference","Mesotidal","Pool",NA,7.1,10.8,89.2,79.8,0,2.8,20.5
"79","Parker River Estuary","South Runnel",2024,2015,9,"Pine Island","South","Pine Island - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,57.1,33.6,66.4,6.8,0.3,2,64.8
"80","Narragansett Bay","No Action",2024,2016,8,"Jacobs Point","","Jacobs Point - No Action","Rhode Island","No Action","Microtidal","Panne",NA,43.1,33.3,66.7,23.3,0,2,41.2
"81","Narragansett Bay","Reference",2024,2016,8,"Jacobs Point","","Jacobs Point - Reference","Rhode Island","Reference","Microtidal","Panne",NA,0.6,24.9,75.1,73.7,0,2.9,27.1
"82","Narragansett Bay","Runnel",2024,2016,8,"Jacobs Point","","Jacobs Point - Runnel","Rhode Island","Runnel","Microtidal","Panne",NA,5.4,25.2,74.8,63.5,0,2.6,43.2
"83","Narrow River Estuary","No Action",2024,2016,8,"Middlebridge","","Middlebridge - No Action","Rhode Island","No Action","Microtidal","Pool",NA,24.8,65.7,34.3,7.2,0,1.3,14.4
"84","Narrow River Estuary","Reference",2024,2016,8,"Middlebridge","","Middlebridge - Reference","Rhode Island","Reference","Microtidal","Pool",NA,14.6,15,85,68.7,0,2.9,27.9
"85","Narrow River Estuary","Runnel",2024,2016,8,"Middlebridge","","Middlebridge - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,28,42.8,57.2,29.2,0,1.3,21.1
"86","Narrow River Estuary","No Action",2024,2016,8,"Narrow River","","Narrow River - No Action","Rhode Island","No Action","Microtidal","Pool",NA,21.2,58.3,41.7,19.3,0,1.1,18.4
"87","Narrow River Estuary","Reference",2024,2016,8,"Narrow River","","Narrow River - Reference","Rhode Island","Reference","Microtidal","Pool",NA,24.4,41.8,58.2,33.4,0,1.9,23.3
"88","Narrow River Estuary","Runnel",2024,2016,8,"Narrow River","","Narrow River - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,34.2,28.3,71.7,32.8,0,2.9,26.2
"89","Parker River Estuary","North Reference",2024,2016,8,"Plum Island - DPR","North","Plum Island - DPR - North Reference","Massachusetts","Reference","Mesotidal","Panne",NA,1.6,6.4,93.6,67.7,0,4,17.2
"90","Parker River Estuary","North Runnel",2024,2016,8,"Plum Island - DPR","North","Plum Island - DPR - North Runnel","Massachusetts","Runnel","Mesotidal","Panne",NA,25.2,25.9,74.1,48.1,0.2,2.7,42.3
"91","Parker River Estuary","South No Action",2024,2017,7,"Plum Island - DPR","South","Plum Island - DPR - South No Action","Massachusetts","No Action","Mesotidal","Panne",NA,41.4,41,59,13.6,7.5,2.3,31.9
"92","Parker River Estuary","South Reference",2024,2017,7,"Plum Island - DPR","South","Plum Island - DPR - South Reference","Massachusetts","Reference","Mesotidal","Panne",NA,6.1,17.2,82.8,74.3,0,2.7,22.6
"93","Parker River Estuary","South Runnel",2024,2017,7,"Plum Island - DPR","South","Plum Island - DPR - South Runnel","Massachusetts","Runnel","Mesotidal","Panne",NA,30.9,29.1,70.9,32.1,0,4.9,48.2
"94","Salt Ponds Region","No Action",2024,2017,7,"Weekapaug","","Weekapaug - No Action","Rhode Island","No Action","Microtidal","Pool",NA,16.8,59.8,40.2,18.9,17.2,2.1,27
"95","Salt Ponds Region","Reference",2024,2017,7,"Weekapaug","","Weekapaug - Reference","Rhode Island","Reference","Microtidal","Pool",NA,10.5,26.5,73.5,57.2,1.6,4.4,26
"96","Salt Ponds Region","Runnel",2024,2017,7,"Weekapaug","","Weekapaug - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,36.3,50.7,49.3,11.4,20.7,1.8,29.8
"97","Taunton River","Reference",2024,2017,7,"Broad Cove","","Broad Cove - Reference","Rhode Island","Reference","Microtidal","Panne",NA,1.1,4.8,95.2,78,0,3.7,38.6
"98","Taunton River","Runnel",2024,2017,7,"Broad Cove","","Broad Cove - Runnel","Rhode Island","Runnel","Microtidal","Panne",NA,0,10.3,89.7,62.8,0,3.9,57.8
"99","Narragansett Bay","Reference",2024,2018,6,"Sapowet","North","Sapowet - Reference","Rhode Island","Reference","Microtidal","Pool",NA,5.2,19.4,80.6,74.4,0,2.6,31.6
"100","Narragansett Bay","Runnel",2024,2018,6,"Sapowet","North","Sapowet - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,43.2,32.2,67.8,21.6,0,2.7,36.9
"101","Salt Ponds Region","No Action",2024,2018,6,"Potters Pond","","Potters Pond - No Action","Rhode Island","No Action","Microtidal","Pool",NA,21.7,61.7,38.3,15,1.7,1.7,18.7
"102","Salt Ponds Region","Reference",2024,2018,6,"Potters Pond","","Potters Pond - Reference","Rhode Island","Reference","Microtidal","Pool",NA,30.3,22,78,43.4,0,2.8,33.2
"103","Salt Ponds Region","Runnel",2024,2018,6,"Potters Pond","","Potters Pond - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,33.6,46.4,53.6,14.6,1.4,1.9,15.6
"104","Parker River Estuary","No Action",2024,2020,4,"Old Town Hill","","Old Town Hill - No Action","Massachusetts","No Action","Mesotidal","Panne",NA,31,46.4,53.6,8.1,0,1.8,50.1
"105","Parker River Estuary","Reference",2024,2020,4,"Old Town Hill","","Old Town Hill - Reference","Massachusetts","Reference","Mesotidal","Panne",NA,2.6,10.1,89.9,84.3,0,3.8,32
"106","Parker River Estuary","Runnel",2024,2020,4,"Old Town Hill","","Old Town Hill - Runnel","Massachusetts","Runnel","Mesotidal","Panne",NA,44.7,26.9,73.1,25.9,0,2.5,34.3
"107","Great Marsh","North No Action",2024,2022,2,"Essex","North","Essex - North No Action","Massachusetts","No Action","Mesotidal","Pool",NA,65.5,28.8,71.2,5.2,0,2,35
"108","Great Marsh","North Runnel",2024,2022,2,"Essex","North","Essex - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,46.5,37.8,62.2,7.9,0.1,2.2,30.9
"109","Great Marsh","Reference",2024,2022,2,"Essex","South","Essex - Reference","Massachusetts","Reference","Mesotidal","Pool",NA,3.3,32.2,67.8,63.9,0,2.3,22.6
"110","Great Marsh","South No Action",2024,2022,2,"Essex","South","Essex - South No Action","Massachusetts","No Action","Mesotidal","Pool",NA,4.1,43,57,46.2,0.2,2.8,20.5
"111","Great Marsh","South Runnel",2024,2022,2,"Essex","South","Essex - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,55,30.6,69.4,11.2,1.4,3,53.6
"112","Great Marsh","No Action",2024,2022,2,"Ipswich","","Ipswich - No Action","Massachusetts","No Action","Mesotidal","Panne",NA,29.8,51.8,48.2,17.6,3.2,1.9,18.8
"113","Great Marsh","Reference",2024,2022,2,"Ipswich","","Ipswich - Reference","Massachusetts","Reference","Mesotidal","Panne",NA,6.9,12.3,87.7,79.9,0,3.2,20.7
"114","Great Marsh","Runnel",2024,2022,2,"Ipswich","","Ipswich - Runnel","Massachusetts","Runnel","Mesotidal","Panne",NA,35.8,57.6,42.4,5.8,2.5,1.9,20.3
"115","Narragansett Bay","No Action",2024,2022,2,"Sapowet","South","Sapowet - No Action","Rhode Island","No Action","Microtidal","Pool",NA,27.8,51.3,48.7,20.6,1.5,1.8,27.1
"116","Narragansett Bay","Runnel",2024,2022,2,"Sapowet","South","Sapowet - Runnel","Rhode Island","Runnel","Microtidal","Pool",NA,24.1,55.9,44.1,18.3,1.1,2,30.7
"117","Parker River Estuary","No Action",2024,2022,2,"Kents Island","","Kents Island - No Action","Massachusetts","No Action","Mesotidal","Panne",NA,49.5,40.3,59.7,9.5,0,1.6,29.9
"118","Parker River Estuary","Reference",2024,2022,2,"Kents Island","","Kents Island - Reference","Massachusetts","Reference","Mesotidal","Panne",NA,6.6,9.3,90.7,79.8,0,3.5,23.5
"119","Parker River Estuary","Runnel",2024,2022,2,"Kents Island","","Kents Island - Runnel","Massachusetts","Runnel","Mesotidal","Panne",NA,45.5,34,66,18.7,0.3,2.2,35.1
"120","Parker River Estuary","North Reference",2024,2022,2,"Plum Island - PLHA","North","Plum Island - PLHA - North Reference","Massachusetts","Reference","Mesotidal","Pool",NA,2.3,12.3,87.7,76.9,0,3.5,18.1
"121","Parker River Estuary","North Runnel",2024,2022,2,"Plum Island - PLHA","North","Plum Island - PLHA - North Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,40.5,41.5,58.5,13.5,1.8,2.5,50.5
"122","Parker River Estuary","No Action",2024,2022,2,"Plum Island - PLHA","South","Plum Island - PLHA - No Action","Massachusetts","No Action","Mesotidal","Pool",NA,36.4,32.8,67.2,28.4,1.4,2.2,38.9
"123","Parker River Estuary","South Reference",2024,2022,2,"Plum Island - PLHA","South","Plum Island - PLHA - South Reference","Massachusetts","Reference","Mesotidal","Pool",NA,6.2,15.9,84.1,76.1,0,4,27.8
"124","Parker River Estuary","South Runnel",2024,2022,2,"Plum Island - PLHA","South","Plum Island - PLHA - South Runnel","Massachusetts","Runnel","Mesotidal","Pool",NA,8.6,53,47,35.9,7.1,1.6,12.3
