"","Year","Year_0","Time_Since_Restoration","Salt_Marsh","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"22",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","Reference","Mesotidal","Pool","T1",11,1.509,0.025,8.5,1.9,91.5,1.9,5.2,5,85.6,6.7,0,0,2.2,0.3,17.2,2.3
"23",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","Reference","Mesotidal","Pool","T2",13,1.509,0.024,12.1,5.2,87.9,5.2,0.2,0.2,87.2,5.2,0,0,2.5,0.2,17.7,0.8
"24",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T1",10,1.34,0.043,43,10.8,57,10.8,26,6,29.4,12.2,10,3.9,1.9,0.4,32.6,6.7
"25",2021,2015,6,"Parker River Estuary","Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T2",9,1.306,0.055,42.8,7.5,57.2,7.5,31.7,8.9,19.8,10,11.1,6.8,1.9,0.3,45.4,9.4
"26",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T1",6,0.811,0.004,38.8,9.9,61.2,9.9,15.3,5.1,45.8,11.1,0,0,2.2,0.3,45,7.9
"27",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T2",6,0.766,0.014,57.3,9.4,42.7,9.4,25.8,6,16.8,8.9,0,0,2,0.4,29.8,4.7
"28",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T1",4,0.821,0.033,21.8,11.7,78.2,11.7,3.2,2.4,75,11,0,0,2.5,0.3,28.8,6.5
"29",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T2",5,0.819,0.003,9.6,2.1,90.4,2.1,0,0,89.4,2.3,0,0,2.4,0.2,17.6,4.5
"30",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T1",5,0.898,0.025,6,1.5,94,1.5,1.8,1.6,80.8,3.8,0,0,3.6,0.2,25.6,7.8
"31",2021,2016,5,"Narragansett Bay","Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T2",3,0.83,0.027,5.7,4.7,94.3,4.7,5,5,88.3,9.3,0,0,3,0.6,24,9
"32",2021,2016,5,"Parker River Estuary","Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",8,1.498,0.013,6.7,1,93.3,1,0,0,83.4,2.8,0,0,3.9,0.4,16,1.9
"33",2021,2016,5,"Parker River Estuary","Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",7,1.495,0.023,6.4,1,93.6,1,5.4,2.8,63.9,5.2,0,0,4.3,0.4,23.9,3.6
"34",2021,2016,5,"Parker River Estuary","Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T3",10,1.492,0.012,6.1,0.7,93.9,0.7,2.5,2,70.7,2.8,0,0,4.2,0.2,21.1,3.3
"35",2021,2016,5,"Parker River Estuary","Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",9,1.501,0.011,29.5,3,70.5,3,41.7,6,28.1,6.6,0,0,2.7,0.3,49.7,3.7
"36",2021,2016,5,"Parker River Estuary","Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",8,1.513,0.016,30.6,7.7,69.4,7.7,36.6,6.6,31.2,9,0,0,2.4,0.4,47.9,4.3
"37",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T1",9,1.49,0.028,33.2,5.7,66.8,5.7,39.4,8.8,25.1,11.5,3,1.7,2.3,0.3,39.2,11.6
"38",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T2",5,1.501,0.033,41,12.5,59,12.5,42,12,9,5.6,3,3,2,0.4,33.8,10.3
"39",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",9,1.507,0.005,8.8,1.3,91.2,1.3,6.1,2.9,82.4,3.9,0,0,2.4,0.3,22.9,4.7
"40",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",8,1.495,0.009,8.5,1.4,91.5,1.4,0,0,88.2,1.8,0,0,2.6,0.4,22.4,2.7
"41",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",10,1.55,0.02,22.1,4.8,77.8,4.8,37.5,4.4,26,9.2,1,1,3,0.4,46.3,6.7
"42",2021,2017,4,"Parker River Estuary","Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",7,1.497,0.032,22.4,5.1,77.6,5.1,39.3,7.2,15.4,10,0.7,0.7,3.1,0.5,50.9,6.3
"43",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","No Action","Microtidal","Pool","T1",3,0.133,0.028,83.3,12,15,10.4,5,2.9,6.7,6.7,6.7,6.7,1.3,0.9,23,12.3
"44",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","No Action","Microtidal","Pool","T2",5,0.2,0.019,51,15.7,49,15.7,16,3.7,31,14.9,3,2,2.6,0.6,27,2.3
"45",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","Reference","Microtidal","Pool","T1",3,0.232,0.007,23.3,6.7,76.7,6.7,10,5,61,9.7,1.7,1.7,3.7,0.7,30,3.5
"46",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","Reference","Microtidal","Pool","T2",5,0.253,0.007,31,3.3,69,3.3,8,3,56.2,6.5,0,0,3.6,0.7,26.4,1.1
"47",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T1",4,0.205,0.02,59,12.7,41,12.7,26,8.9,13.2,9.2,32.8,20,2.8,0.9,20.2,4.3
"48",2021,2017,4,"Salt Ponds Region","Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T2",8,0.196,0.011,46.5,9,53.5,9,44.2,10.2,8.8,8.8,4.9,1.4,1.4,0.3,24.1,4.7
"49",2021,2017,4,"Taunton River","Broad Cove","Rhode Island","Reference","Microtidal","Panne","T1",4,0.975,0.005,15,4.6,85,4.6,0,0,74,8.4,0,0,3.2,0.5,30,1.5
"50",2021,2017,4,"Taunton River","Broad Cove","Rhode Island","Reference","Microtidal","Panne","T2",5,1.032,0.019,28.6,8,71.4,8,1,1,53.4,6.7,0,0,4.2,0.5,28.4,4.7
"51",2021,2017,4,"Taunton River","Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T1",5,1.011,0.012,29,7,71,7,0,0,49,11.6,0,0,3.6,0.2,52.6,17.8
"52",2021,2017,4,"Taunton River","Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T2",4,1.028,0.023,15,2.9,85,2.9,0,0,73,8.4,0,0,2.8,0.5,39,7.3
"53",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","No Action","Microtidal","Pool","T1",3,0.122,0.025,54.3,21.2,45.7,21.2,24,9.5,21.7,16.9,26,23.5,1.7,0.3,24.3,0.7
"54",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","Reference","Microtidal","Pool","T1",6,0.255,0.004,21.7,6.7,78.3,6.7,26.7,7.4,50.8,12.2,0,0,2.2,0.2,25.7,2
"55",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","Reference","Microtidal","Pool","T2",3,0.227,0.029,9.7,4.8,90.3,4.8,18.7,9.8,71.7,6.7,0,0,2.7,0.3,29.3,3.3
"56",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T1",8,0.205,0.011,44.5,7.7,55.5,7.7,38.9,4.8,16.4,8.1,2.2,0.9,1.8,0.2,19.5,3
"57",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T2",5,0.102,0.022,53,8.5,47,8.5,36,14.9,0,0,9,3.3,1,0,23,4.4
"58",2021,2018,3,"Salt Ponds Region","Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T3",6,0.193,0.012,61.7,16.6,38.3,16.6,17.5,11,17.5,15.6,4.2,2,1.3,0.4,15.2,4
"59",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","No Action","Microtidal","Panne","T1",5,0.435,0.022,47.6,21.7,52.4,21.7,19,14.3,33.4,20.6,0,0,1.2,0.6,13,5.3
"60",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","No Action","Microtidal","Panne","T2",4,0.392,0.031,62.5,21.7,37.5,21.7,37.5,21.7,0,0,0,0,0.5,0.3,10,5.9
"61",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","Reference","Microtidal","Panne","T1",4,0.47,0.04,5,2.2,95,2.2,7.2,2.9,83.2,3.4,0,0,4.2,0.5,28.8,2.6
"62",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","Reference","Microtidal","Panne","T2",5,0.439,0.005,21.6,7.9,78.4,7.9,25,7.3,52,12.6,0,0,3.6,0.7,21.8,1
"63",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","Runnel","Microtidal","Panne","T1",4,0.414,0.004,44,10.6,56,10.6,53.2,10.6,2.5,2.5,0,0,1.8,0.8,22,0.7
"64",2022,2015,7,"Narrow River Estuary","Canonchet","Rhode Island","Runnel","Microtidal","Panne","T2",4,0.443,0.013,15,4.7,85,4.7,7.5,4.8,59,14.1,0,0,3.8,0.2,17.2,2.8
"65",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","No Action","Microtidal","Pool","T1",5,0.434,0.012,83,17,17,17,13.8,13.8,2.6,2.6,0,0,0.8,0.8,4.6,4.6
"66",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","No Action","Microtidal","Pool","T2",5,0.474,0.024,49,14.1,51,14.1,36.4,16,10.6,9.9,0,0,1.4,0.4,16.4,4.2
"67",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","Reference","Microtidal","Pool","T1",3,0.428,0.017,17,9.3,83,9.3,16.7,10.1,66,19.1,0,0,2.3,0.3,26.3,5.7
"68",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","Reference","Microtidal","Pool","T2",4,0.427,0.007,29,6.7,71,6.7,19.2,8.5,49.5,14.3,0,0,2.8,0.5,27,1.4
"69",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T1",5,0.321,0.01,24.8,12,75.2,12,26.8,9.7,47.2,18.9,0,0,2.4,0.5,21.6,3.1
"70",2022,2016,6,"Narrow River Estuary","Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T2",4,0.291,0.023,20.5,3.1,79.5,3.1,74.2,7,4.2,4.2,0,0,1.8,0.5,21.5,1
"71",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","No Action","Microtidal","Pool","T1",4,0.504,0.012,60.2,13,39.8,13,25,14,12.5,12.5,0,0,1.5,0.3,16.5,2.3
"72",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","No Action","Microtidal","Pool","T2",5,0.511,0.016,33.6,17.8,66.4,17.8,28,17.3,38,23.3,0,0,1,0.3,13.6,3.8
"73",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","Reference","Microtidal","Pool","T1",5,0.462,0.018,11.6,5.8,88.4,5.8,15.6,13.6,72.6,18.6,0,0,1.6,0.4,18,1.9
"74",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","Reference","Microtidal","Pool","T2",4,0.417,0.004,15,2,85,2,76.2,10.5,8.8,8.8,0,0,1.2,0.2,27,1.9
"75",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","Runnel","Microtidal","Pool","T1",5,0.46,0.008,24.6,5.6,75.4,5.6,43.2,15.5,31.8,19.2,0,0,1.8,0.4,20.6,1.5
"76",2022,2016,6,"Narrow River Estuary","Narrow River","Rhode Island","Runnel","Microtidal","Pool","T2",4,0.476,0.009,34.2,5.7,65.8,5.7,32.5,14.9,25.5,16.1,0,0,3,1.2,19.2,1.6
"77",2022,2018,4,"Narragansett Bay","Sapowet","Rhode Island","Reference","Microtidal","Pool","T1",4,0.633,0.006,19.8,7.4,80.2,7.4,0,0,77,8.8,0,0,2.5,0.3,22.5,2.6
"78",2022,2018,4,"Narragansett Bay","Sapowet","Rhode Island","Reference","Microtidal","Pool","T2",4,0.596,0.012,13.2,2,86.8,2,7.5,7.5,78.8,9.7,0,0,2.2,0.5,27,1.2
"79",2022,2018,4,"Narragansett Bay","Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",4,0.633,0.021,29.5,6.7,70.5,6.7,30.8,8.6,36.5,15.9,0,0,2.8,0.5,25,2.2
"80",2022,2018,4,"Narragansett Bay","Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",5,0.621,0.067,68.2,19.5,31.8,19.5,0,0,28.2,17.3,0,0,1.2,0.7,13.2,8.1
"81",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T1",5,1.352,0.045,52.8,15.2,47.2,15.2,35.6,15.6,5,3.9,2.6,2.6,1.8,0.6,22.4,9.5
"82",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T2",6,1.346,0.043,53,11.9,47,11.9,27.3,10.4,14,8,2.2,2.2,2.2,0.5,30.3,9.7
"83",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T1",6,1.495,0.007,15,4.4,85,4.4,5.3,1.7,79,6,0,0,3.7,0.4,26.7,3.5
"84",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T2",6,1.474,0.011,13,3,87,3,4.7,1.8,80.7,4.6,0,0,3.8,0.5,26.3,3.3
"85",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T1",8,1.288,0.125,28.5,3.5,71.5,3.5,50.9,7.5,20.6,10.8,2.5,1.3,1.8,0.3,28.2,1.2
"86",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T2",7,1.383,0.015,31.3,6.4,68.7,6.4,37,5.5,31.4,11.8,0.7,0.7,2.1,0.3,27.3,2.4
"87",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T3",6,1.413,0.004,35.7,0.9,64.3,0.9,58,4.7,6,4.8,1.7,1.7,1.7,0.3,29.2,3
"88",2022,2020,2,"Parker River Estuary","Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T4",6,1.402,0.005,31.5,3.6,68.5,3.6,49.2,5.5,18.8,8.9,0,0,2.3,0.5,30.5,1.1
"89",2022,2022,0,"Great Marsh","Essex","Massachusetts","No Action","Mesotidal","Pool","T1",7,1.474,0.036,32.7,9.3,67.3,9.3,18.9,10.4,41.6,13.4,0,0,2.7,0.8,19,2.9
"90",2022,2022,0,"Great Marsh","Essex","Massachusetts","No Action","Mesotidal","Pool","T2",5,1.468,0.022,32,14.3,68,14.3,22,12,46,17.9,0,0,2.4,0.2,17.4,3.3
"91",2022,2022,0,"Great Marsh","Essex","Massachusetts","Reference","Mesotidal","Pool","T1",5,1.443,0.024,14.6,1.6,85.4,1.6,0,0,85.4,1.6,0,0,1.6,0.4,16.6,1.8
"92",2022,2022,0,"Great Marsh","Essex","Massachusetts","Reference","Mesotidal","Pool","T2",4,1.362,0.016,10.8,1.4,89.2,1.4,4,3.7,85.2,5.1,0,0,3,0.4,16.2,1.7
"93",2022,2022,0,"Great Marsh","Essex","Massachusetts","Runnel","Mesotidal","Pool","T1",8,1.469,0.038,38.2,12.8,61.8,12.8,35.4,12.9,25.6,13.9,0.2,0.2,2.4,0.4,15.9,3.3
"94",2022,2022,0,"Great Marsh","Essex","Massachusetts","Runnel","Mesotidal","Pool","T2",6,1.338,0.085,42.8,6.6,57.2,6.6,53.3,6.1,3.8,2.7,0.8,0.8,1.7,0.3,28.2,7
"95",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","No Action","Mesotidal","Panne","T1",7,1.251,0.066,48.3,10.4,51.7,10.4,25,6.4,25.6,10.1,0.7,0.7,2.1,0.4,14.9,2.9
"96",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","No Action","Mesotidal","Panne","T2",5,1.265,0.054,62.4,10.7,37.6,10.7,28,9,9.6,7.8,2,1.2,1.2,0.4,15.8,4.7
"97",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","Reference","Mesotidal","Panne","T1",5,1.165,0.016,16.2,3.2,83.8,3.2,27.8,11.2,55.4,14.2,0.8,0.8,3,0.3,14.4,1.3
"98",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","Reference","Mesotidal","Panne","T2",5,1.241,0.006,19.6,3.8,80.4,3.8,8.6,3.7,70.2,3.8,0.6,0.4,4.2,0.4,25.6,6.5
"99",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T1",7,1.355,0.032,55.3,13,44.7,13,37.7,11.4,1.7,1.4,5.6,3.6,1.6,0.4,13.1,3.5
"100",2022,2022,0,"Great Marsh","Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T2",5,1.288,0.077,68,18.3,32,18.3,12.2,6.6,19.2,13.1,17.2,10.3,1.6,0.8,10,4.2
"101",2022,2022,0,"Narragansett Bay","Sapowet","Rhode Island","No Action","Microtidal","Pool","T1",5,0.676,0.017,54.2,16.7,45.8,16.7,29.2,13.4,16.6,14.7,0,0,1.4,0.5,17.8,5.5
"102",2022,2022,0,"Narragansett Bay","Sapowet","Rhode Island","No Action","Microtidal","Pool","T2",5,0.657,0.042,49.2,15.5,50.8,15.5,27.4,11.7,23,18.4,14,14,1.8,0.4,23.4,4.3
"103",2022,2022,0,"Narragansett Bay","Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",5,0.676,0.048,39.4,13.3,60.6,13.3,30,16.7,22.4,14,0,0,1.8,0.4,22.6,5.8
"104",2022,2022,0,"Narragansett Bay","Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",4,0.659,0.011,26.5,3.9,73.5,3.9,52.2,17.7,18.2,18.2,0,0,2.2,0.2,18.2,1.8
"105",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","No Action","Mesotidal","Panne","T1",7,1.413,0.01,61.1,10.8,38.9,10.8,28.4,9.2,9.7,9.7,0,0,1.4,0.2,18.3,1.9
"106",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","No Action","Mesotidal","Panne","T2",8,1.425,0.01,56.2,6.4,43.8,6.4,32,6,10,7.6,0,0,1.9,0.5,21.6,1.9
"107",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","Reference","Mesotidal","Panne","T1",7,1.364,0.014,6.1,2.6,93.9,2.6,3.9,2,86,4.1,0,0,3.3,0.3,21.6,2.9
"108",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","Reference","Mesotidal","Panne","T2",4,1.144,0.278,7,1.2,93,1.2,8.8,2.5,80.5,4.9,0,0,4,0.4,27.5,2.5
"109",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T1",12,1.383,0.02,37.8,9.2,62.2,9.2,40.2,8.3,20.1,9.1,6.7,6.7,2.2,0.4,28,2.6
"110",2022,2022,0,"Parker River Estuary","Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T2",9,1.342,0.026,57.4,10.9,42.6,10.9,30.7,9.8,8.3,5.3,8.9,8.9,1.9,0.3,16.2,2.3
"111",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T1",5,1.355,0.007,33,4.6,67,4.6,51,9.1,15.9,12.5,1,1,1.6,0.4,26.6,2.7
"112",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T2",4,1.44,0.024,32.2,16.3,67.8,16.3,24.5,9.9,43.2,25.6,0.5,0.5,1.2,0.2,20,4.5
"113",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T1",10,1.467,0.006,13,2.6,87,2.6,5.9,1.2,73.1,4.1,0,0,3.8,0.3,24.3,3
"114",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T2",10,1.444,0.009,18.2,6.1,81.8,6.1,5.4,3.5,75.7,8.9,0,0,2.5,0.2,24.5,2.1
"115",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T1",9,1.514,0.024,50,12.6,50,12.6,38.8,10.2,10.7,4.9,0,0,1.8,0.5,18.1,5
"116",2022,2022,0,"Parker River Estuary","Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T2",9,1.466,0.034,61,12.6,39,12.6,27.8,11.6,7.2,6.6,2.2,2.2,2,0.4,18,4.2
"117",2024,2011,13,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T1",5,NA,NA,53.2,15.6,46.8,15.6,18.2,6.7,18,16.8,0,0,2.2,0.5,21.4,4.4
"118",2024,2011,13,"Ogunquit Marsh","Moody Marsh","Maine","No Action","Mesotidal","Pool","T2",9,NA,NA,63.9,8.9,36.1,8.9,19.8,5.9,13.8,7.5,0.3,0.3,1.7,0.2,22.3,5
"119",2024,2011,13,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T1",7,NA,NA,26.3,2.3,73.7,2.3,9.3,9.3,59.4,7.3,0,0,3,0.3,24.9,1.1
"120",2024,2011,13,"Ogunquit Marsh","Moody Marsh","Maine","Reference","Mesotidal","Pool","T2",6,NA,NA,13.8,2.6,86.2,2.6,2,1,79.7,2.8,0,0,4.8,0.7,29.5,1.8
"121",2024,2011,13,"Ogunquit Marsh","Moody Marsh","Maine","Runnel","Mesotidal","Pool","T1",8,NA,NA,37,9.6,63,9.6,22.9,5.6,20.5,9.7,3.9,2.5,3.9,0.7,25.6,4.6
