"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Plot_count","Elevation_mean","Elevation_se","abiotic_cover_mean","abiotic_cover_se","live_cover_mean","live_cover_se","SPALT_mean","SPALT_se","high_marsh_grams_mean","high_marsh_grams_se","other_mean","other_se","salicornia_mean","salicornia_se","algae_cover_mean","algae_cover_se","richness_mean","richness_se","Canopy_Height_cm_mean","Canopy_Height_cm_se"
"19","Essex","South","Essex - South","Runnel","Essex - South - Runnel",2022,2022,0,"Mesotidal","Pool",5,1.234,0.057,28.2,10.4,71.8,10.4,32,14.5,38.8,20.6,1,0.6,0,0,1.4,1,2.2,0.5,22.6,8.9
"20","Essex","South","Essex - South","Runnel","Essex - South - Runnel",2024,2022,2,"Mesotidal","Pool",5,NA,NA,30.6,5.7,69.4,5.7,55,11.6,11.2,4.7,5,3.2,0.2,0.2,1.4,1.4,3,1.1,53.6,6.5
"21","Ipswich","","Ipswich","No Action","Ipswich - No Action",2022,2022,0,"Mesotidal","Panne",12,1.257,0.043,54.2,7.5,45.8,7.5,26.2,5,18.9,6.9,22.5,11.3,0.7,0.4,1.2,0.7,1.8,0.3,15.2,2.5
"22","Ipswich","","Ipswich","No Action","Ipswich - No Action",2024,2022,2,"Mesotidal","Panne",12,NA,NA,51.8,7.9,48.2,7.9,29.8,5.2,17.6,5.8,23.1,11.8,0.6,0.3,3.2,2.5,1.9,0.4,18.8,2.9
"23","Ipswich","","Ipswich","Reference","Ipswich - Reference",2022,2022,0,"Mesotidal","Panne",10,1.203,0.015,17.9,2.4,82.1,2.4,18.2,6.4,62.8,7.3,0.2,0.1,0.9,0.2,0.7,0.4,3.6,0.3,20,3.7
"24","Ipswich","","Ipswich","Reference","Ipswich - Reference",2024,2022,2,"Mesotidal","Panne",10,NA,NA,12.3,2.2,87.7,2.2,6.9,2.7,79.9,3.7,0,0,0.9,0.3,0,0,3.2,0.2,20.7,2
"25","Ipswich","","Ipswich","Runnel","Ipswich - Runnel",2022,2022,0,"Mesotidal","Panne",12,1.327,0.036,60.6,10.4,39.4,10.4,27.1,7.9,9,5.8,28.3,12.9,3.3,1.6,10.4,4.8,1.6,0.4,11.8,2.6
"26","Ipswich","","Ipswich","Runnel","Ipswich - Runnel",2024,2022,2,"Mesotidal","Panne",12,NA,NA,57.6,8.8,42.4,8.8,35.8,7.3,5.8,2.9,34.2,13.3,0.8,0.2,2.5,1.7,1.9,0.4,20.3,3.7
"27","Jacobs Point","","Jacobs Point","No Action","Jacobs Point - No Action",2021,2016,5,"Microtidal","Panne",12,0.788,0.01,48.1,7.1,51.9,7.1,20.6,4.1,31.3,8.1,9.2,6.7,0,0,0,0,2.1,0.2,37.4,4.9
"28","Jacobs Point","","Jacobs Point","No Action","Jacobs Point - No Action",2024,2016,8,"Microtidal","Panne",12,NA,NA,33.3,5.3,66.7,5.3,43.1,5.9,23.3,8.4,20,6.6,0.2,0.2,0,0,2,0.3,41.2,3.8
"29","Jacobs Point","","Jacobs Point","Reference","Jacobs Point - Reference",2021,2016,5,"Microtidal","Panne",9,0.82,0.013,15,5.3,85,5.3,1.4,1.1,83,5.3,3.9,3.3,0,0,0,0,2.4,0.2,22.6,4.1
"30","Jacobs Point","","Jacobs Point","Reference","Jacobs Point - Reference",2024,2016,8,"Microtidal","Panne",9,NA,NA,24.9,6.4,75.1,6.4,0.6,0.6,73.7,6.6,8.2,5.1,0.4,0.2,0,0,2.9,0.3,27.1,2.1
"31","Jacobs Point","","Jacobs Point","Runnel","Jacobs Point - Runnel",2021,2016,5,"Microtidal","Panne",8,0.873,0.021,5.9,1.8,94.1,1.8,3,2,83.6,4,7.4,3.5,0.1,0.1,0,0,3.4,0.3,25,5.5
"32","Jacobs Point","","Jacobs Point","Runnel","Jacobs Point - Runnel",2024,2016,8,"Microtidal","Panne",8,NA,NA,25.2,4.1,74.8,4.1,5.4,2.9,63.5,5.6,9.5,4.2,0.1,0.1,0,0,2.6,0.4,43.2,10.2
"33","Kents Island","","Kents Island","No Action","Kents Island - No Action",2022,2022,0,"Mesotidal","Panne",15,1.42,0.007,58.5,5.9,41.5,5.9,30.3,5.2,9.9,5.8,0,0,1.3,0.7,0,0,1.7,0.3,20.1,1.4
"34","Kents Island","","Kents Island","No Action","Kents Island - No Action",2024,2022,2,"Mesotidal","Panne",15,NA,NA,40.3,5.4,59.7,5.4,49.5,6.7,9.5,5.3,26.5,9,0.7,0.3,0,0,1.6,0.2,29.9,1.9
"35","Kents Island","","Kents Island","Reference","Kents Island - Reference",2022,2022,0,"Mesotidal","Panne",11,1.284,0.098,6.5,1.7,93.5,1.7,5.6,1.7,84,3.1,1.5,1.1,2.4,0.9,0,0,3.5,0.2,23.7,2.2
"36","Kents Island","","Kents Island","Reference","Kents Island - Reference",2024,2022,2,"Mesotidal","Panne",11,NA,NA,9.3,2,90.7,2,6.6,2.5,79.8,3,2.7,2.3,1.5,0.7,0,0,3.5,0.3,23.5,3.1
"37","Kents Island","","Kents Island","Runnel","Kents Island - Runnel",2022,2022,0,"Mesotidal","Panne",21,1.365,0.016,46.2,7.2,53.8,7.2,36.1,6.3,15,5.7,4.9,3.8,2,1,7.6,5.3,2,0.3,23,2.2
"38","Kents Island","","Kents Island","Runnel","Kents Island - Runnel",2024,2022,2,"Mesotidal","Panne",21,NA,NA,34,2.7,66,2.7,45.5,4.2,18.7,5.4,0.8,0.7,1.7,0.5,0.3,0.2,2.2,0.2,35.1,1.3
"39","Middlebridge","","Middlebridge","No Action","Middlebridge - No Action",2022,2016,6,"Microtidal","Pool",10,0.454,0.014,66,11.9,34,11.9,25.1,10.7,6.6,5,0,0,2.3,2,0,0,1.1,0.4,10.5,3.5
"40","Middlebridge","","Middlebridge","No Action","Middlebridge - No Action",2024,2016,8,"Microtidal","Pool",10,NA,NA,65.7,11.6,34.3,11.6,24.8,9.8,7.2,5.6,40,16.3,2.3,1.5,0,0,1.3,0.5,14.4,4.8
"41","Middlebridge","","Middlebridge","Reference","Middlebridge - Reference",2022,2016,6,"Microtidal","Pool",7,0.427,0.008,23.9,5.6,76.1,5.6,18.1,6,56.6,11,0,0,1.4,1.1,0,0,2.6,0.3,26.7,2.3
"42","Middlebridge","","Middlebridge","Reference","Middlebridge - Reference",2024,2016,8,"Microtidal","Pool",7,NA,NA,15,3.2,85,3.2,14.6,5.8,68.7,8.8,0,0,1.7,1.1,0,0,2.9,0.3,27.9,2.1
"43","Middlebridge","","Middlebridge","Runnel","Middlebridge - Runnel",2022,2016,6,"Microtidal","Pool",9,0.308,0.012,22.9,6.5,77.1,6.5,47.9,10.2,28.1,12.6,0,0,1.1,0.5,0,0,2.1,0.4,21.6,1.7
"44","Middlebridge","","Middlebridge","Runnel","Middlebridge - Runnel",2024,2016,8,"Microtidal","Pool",9,NA,NA,42.8,10.2,57.2,10.2,28,8.5,29.2,12.4,0,0,0,0,0,0,1.3,0.2,21.1,2.9
"45","Moody Marsh","","Moody Marsh","No Action","Moody Marsh - No Action",2021,2011,10,"Mesotidal","Pool",14,1.534,0.011,50.6,7.9,49.4,7.9,28.2,6.5,17.9,7.3,71.4,11.8,0.4,0.2,0.4,0.4,1.6,0.2,24.9,2.9
"46","Moody Marsh","","Moody Marsh","No Action","Moody Marsh - No Action",2024,2011,13,"Mesotidal","Pool",14,NA,NA,60.1,7.7,39.9,7.7,19.2,4.3,15.3,7.3,52.1,13,0.1,0.1,0.2,0.2,1.9,0.2,22,3.5
"47","Moody Marsh","","Moody Marsh","Reference","Moody Marsh - Reference",2021,2011,10,"Mesotidal","Pool",13,1.432,0.006,9.6,1.3,90.4,1.3,2.2,1.2,82.8,2.4,3.7,1.3,1.7,0.3,0,0,4.5,0.4,23.2,1.7
"48","Moody Marsh","","Moody Marsh","Reference","Moody Marsh - Reference",2024,2011,13,"Mesotidal","Pool",13,NA,NA,20.5,2.4,79.5,2.4,5.9,5,68.8,4.9,3.4,1.6,2.9,1.1,0,0,3.8,0.5,27,1.2
"49","Moody Marsh","","Moody Marsh","Runnel","Moody Marsh - Runnel",2021,2011,10,"Mesotidal","Pool",17,1.241,0.04,35.2,8.1,64.8,8.1,29.9,5.9,21.8,6.3,12,3.7,1,0.7,3.2,1.4,2.7,0.5,31.7,5.5
"50","Moody Marsh","","Moody Marsh","Runnel","Moody Marsh - Runnel",2024,2011,13,"Mesotidal","Pool",17,NA,NA,44.5,7.4,55.5,7.4,18.9,3.9,24,7.3,8.3,2.1,4.3,1.2,8.9,4.1,3.2,0.5,25.4,3.5
"51","Narrow River","","Narrow River","No Action","Narrow River - No Action",2022,2016,6,"Microtidal","Pool",9,0.508,0.01,45.4,11.7,54.6,11.7,26.7,10.8,26.7,14,0,0,1.2,0.8,0,0,1.2,0.2,14.9,2.3
"52","Narrow River","","Narrow River","No Action","Narrow River - No Action",2024,2016,8,"Microtidal","Pool",9,NA,NA,58.3,9.9,41.7,9.9,21.2,9.4,19.3,10.5,0,0,1.1,0.9,0,0,1.1,0.2,18.4,3
"53","Narrow River","","Narrow River","Reference","Narrow River - Reference",2022,2016,6,"Microtidal","Pool",9,0.442,0.013,13.1,3.2,86.9,3.2,42.6,13.5,44.2,15.3,0,0,0.1,0.1,0,0,1.4,0.2,22,2
"54","Narrow River","","Narrow River","Reference","Narrow River - Reference",2024,2016,8,"Microtidal","Pool",9,NA,NA,41.8,4.2,58.2,4.2,24.4,7.2,33.4,10.7,0,0,0.3,0.2,0,0,1.9,0.3,23.3,2.1
"55","Narrow River","","Narrow River","Runnel","Narrow River - Runnel",2022,2016,6,"Microtidal","Pool",9,0.467,0.006,28.9,4.1,71.1,4.1,38.4,10.4,29,12.1,3.3,3.1,0.3,0.2,0,0,2.3,0.6,20,1.1
"56","Narrow River","","Narrow River","Runnel","Narrow River - Runnel",2024,2016,8,"Microtidal","Pool",9,NA,NA,28.3,5.8,71.7,5.8,34.2,8.5,32.8,12.1,3.9,2.8,0.8,0.3,0,0,2.9,0.6,26.2,2.8
"57","Old Town Hill","","Old Town Hill","No Action","Old Town Hill - No Action",2022,2020,2,"Mesotidal","Panne",11,1.349,0.03,52.9,9,47.1,9,31.1,8.7,9.9,4.7,46.9,16.5,0.1,0.1,2.4,1.6,2,0.4,26.7,6.6
"58","Old Town Hill","","Old Town Hill","No Action","Old Town Hill - No Action",2024,2020,4,"Mesotidal","Panne",11,NA,NA,46.4,5.7,53.6,5.7,31,8.4,8.1,4.6,44.4,17.5,0.2,0.2,0,0,1.8,0.4,50.1,10.6
"59","Old Town Hill","","Old Town Hill","Reference","Old Town Hill - Reference",2022,2020,2,"Mesotidal","Panne",12,1.485,0.007,14,2.5,86,2.5,5,1.2,79.8,3.6,1.2,0.4,0,0,0,0,3.8,0.3,26.5,2.3
"60","Old Town Hill","","Old Town Hill","Reference","Old Town Hill - Reference",2024,2020,4,"Mesotidal","Panne",12,NA,NA,10.1,2.1,89.9,2.1,2.6,0.9,84.3,3.1,2.8,1,0.2,0.1,0,0,3.8,0.4,32,1.7
"61","Old Town Hill","","Old Town Hill","Runnel","Old Town Hill - Runnel",2022,2020,2,"Mesotidal","Panne",27,1.366,0.037,31.5,2.1,68.5,2.1,48.5,3.3,19.8,5,1.4,0.9,0.2,0.1,1.3,0.6,2,0.2,28.7,1
"62","Old Town Hill","","Old Town Hill","Runnel","Old Town Hill - Runnel",2024,2020,4,"Mesotidal","Panne",27,NA,NA,26.9,2.2,73.1,2.2,44.7,4.5,25.9,5.8,0.3,0.2,2.3,0.7,0,0,2.5,0.2,34.3,0.9
"63","Pine Island","North","Pine Island - North","No Action","Pine Island - North - No Action",2021,2015,6,"Mesotidal","Pool",12,1.53,0.009,39,9.1,61,9.1,29.4,10.4,27.5,10.1,20.6,12.3,0.2,0.2,14.3,8,1.8,0.3,27,4.1
"64","Pine Island","North","Pine Island - North","No Action","Pine Island - North - No Action",2024,2015,9,"Mesotidal","Pool",12,NA,NA,32.5,9.7,67.5,9.7,26.8,9.6,35.9,12.6,11.2,8.3,1.8,0.8,6.7,6.7,2.3,0.4,22.6,3.5
"65","Pine Island","North","Pine Island - North","Reference","Pine Island - North - Reference",2021,2015,6,"Mesotidal","Pool",13,1.523,0.023,7.5,2.9,92.5,2.9,0.2,0.2,91.7,3,0.5,0.5,0.1,0.1,0,0,2.5,0.2,18.2,1.9
"66","Pine Island","North","Pine Island - North","Reference","Pine Island - North - Reference",2024,2015,9,"Mesotidal","Pool",13,NA,NA,7.5,1.3,92.5,1.3,0,0,91.7,1.4,0.7,0.6,0.2,0.1,0,0,2.5,0.1,20.2,1.8
"67","Pine Island","North","Pine Island - North","Runnel","Pine Island - North - Runnel",2021,2015,6,"Mesotidal","Pool",8,1.465,0.027,24.9,9.5,75.1,9.5,11.9,3.9,56.1,11.3,25.9,14.7,0,0,9.4,7.5,2.8,0.4,21.2,2.8
"68","Pine Island","North","Pine Island - North","Runnel","Pine Island - North - Runnel",2024,2015,9,"Mesotidal","Pool",8,NA,NA,25.4,4.9,74.6,4.9,18.9,8.2,50,11.6,5.2,3.7,0.5,0.3,2.5,2.5,3,0.5,30.2,5.5
"69","Pine Island","South","Pine Island - South","Reference","Pine Island - South - Reference",2021,2015,6,"Mesotidal","Pool",11,1.493,0.024,13.8,5.3,86.2,5.3,5.3,5,80.3,8,0.6,0.4,0,0,0,0,2.2,0.3,16.6,0.8
"70","Pine Island","South","Pine Island - South","Reference","Pine Island - South - Reference",2024,2015,9,"Mesotidal","Pool",11,NA,NA,10.8,2.2,89.2,2.2,7.1,6.5,79.8,8.2,1.9,1.1,0.4,0.2,0,0,2.8,0.5,20.5,1.7
"71","Pine Island","South","Pine Island - South","Runnel","Pine Island - South - Runnel",2021,2015,6,"Mesotidal","Pool",11,1.221,0.026,56,6.8,44,6.8,41,6.3,2.1,2.1,0,0,0.9,0.6,11.4,3.8,1.3,0.1,51.4,7.7
"72","Pine Island","South","Pine Island - South","Runnel","Pine Island - South - Runnel",2024,2015,9,"Mesotidal","Pool",10,NA,NA,33.6,3.5,66.4,3.5,57.1,5.7,6.8,6.8,3.5,3,2,0.8,0.3,0.3,2,0.4,64.8,7.7
"73","Plum Island - DPR","North","Plum Island - DPR - North","Reference","Plum Island - DPR - North - Reference",2021,2016,5,"Mesotidal","Panne",25,1.495,0.009,6.4,0.5,93.6,0.5,2.5,1.1,72.8,2.5,18.8,2.4,0,0,0,0,4.1,0.2,20.2,1.8
"74","Plum Island - DPR","North","Plum Island - DPR - North","Reference","Plum Island - DPR - North - Reference",2024,2016,8,"Mesotidal","Panne",25,NA,NA,6.4,1.3,93.6,1.3,1.6,0.9,67.7,2.4,24.3,2.3,0,0,0,0,4,0.2,17.2,1.3
"75","Plum Island - DPR","North","Plum Island - DPR - North","Runnel","Plum Island - DPR - North - Runnel",2021,2016,5,"Mesotidal","Panne",17,1.507,0.009,30,3.8,70,3.8,39.3,4.4,29.6,5.3,13.4,7.5,0,0,0,0,2.5,0.2,48.8,2.7
"76","Plum Island - DPR","North","Plum Island - DPR - North","Runnel","Plum Island - DPR - North - Runnel",2024,2016,8,"Mesotidal","Panne",17,NA,NA,25.9,4.5,74.1,4.5,25.2,4.9,48.1,7,10.5,6.3,0.2,0.1,0.2,0.2,2.7,0.3,42.3,2.6
"77","Plum Island - DPR","South","Plum Island - DPR - South","No Action","Plum Island - DPR - South - No Action",2021,2017,4,"Mesotidal","Panne",14,1.494,0.021,36,5.6,64,5.6,40.4,6.8,19.4,7.7,21.8,9,2.9,1.4,3,1.5,2.2,0.2,37.3,8.1
"78","Plum Island - DPR","South","Plum Island - DPR - South","No Action","Plum Island - DPR - South - No Action",2024,2017,7,"Mesotidal","Panne",14,NA,NA,41,7.8,59,7.8,41.4,8.1,13.6,7.3,17.9,10.1,2.9,1.1,7.5,4.8,2.3,0.2,31.9,4.2
"79","Plum Island - DPR","South","Plum Island - DPR - South","Reference","Plum Island - DPR - South - Reference",2021,2017,4,"Mesotidal","Panne",17,1.501,0.005,8.6,0.9,91.4,0.9,3.2,1.7,85.2,2.3,2.9,1.3,0,0,0,0,2.5,0.2,22.6,2.7
"80","Plum Island - DPR","South","Plum Island - DPR - South","Reference","Plum Island - DPR - South - Reference",2024,2017,7,"Mesotidal","Panne",17,NA,NA,17.2,2.3,82.8,2.3,6.1,4.1,74.3,5.1,1.9,0.9,0.5,0.2,0,0,2.7,0.3,22.6,2.4
"81","Plum Island - DPR","South","Plum Island - DPR - South","Runnel","Plum Island - DPR - South - Runnel",2021,2017,4,"Mesotidal","Panne",17,1.528,0.018,22.2,3.4,77.8,3.4,38.2,3.8,21.6,6.7,12.4,4,6.4,2.4,0.9,0.6,3.1,0.3,48.2,4.6
"82","Plum Island - DPR","South","Plum Island - DPR - South","Runnel","Plum Island - DPR - South - Runnel",2024,2017,7,"Mesotidal","Panne",17,NA,NA,29.1,1.7,70.9,1.7,30.9,4.8,32.1,5.6,6.9,2.6,1.1,0.3,0,0,4.9,0.5,48.2,2.3
"83","Plum Island - PLHA","North","Plum Island - PLHA - North","Reference","Plum Island - PLHA - North - Reference",2022,2022,0,"Mesotidal","Pool",10,1.46,0.01,9.6,2.6,90.4,2.6,3.7,1.3,79,5.5,7.7,4.1,0,0,0,0,3.2,0.4,24.2,2.4
"84","Plum Island - PLHA","North","Plum Island - PLHA - North","Reference","Plum Island - PLHA - North - Reference",2024,2022,2,"Mesotidal","Pool",10,NA,NA,12.3,5.5,87.7,5.5,2.3,0.9,76.9,5.8,8.6,3.9,0.4,0.2,0,0,3.5,0.4,18.1,1.4
"85","Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel","Plum Island - PLHA - North - Runnel",2022,2022,0,"Mesotidal","Pool",11,1.482,0.028,53.5,11.3,46.5,11.3,39.6,10.5,3.3,1.9,0.5,0.3,3,1.4,1.8,1.8,2.2,0.4,21.8,4.1
"86","Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel","Plum Island - PLHA - North - Runnel",2024,2022,2,"Mesotidal","Pool",11,NA,NA,41.5,6.9,58.5,6.9,40.5,6.3,13.5,5.9,19.5,12,3.2,1.3,1.8,1.8,2.5,0.4,50.5,7.7
"87","Plum Island - PLHA","South","Plum Island - PLHA - South","No Action","Plum Island - PLHA - South - No Action",2022,2022,0,"Mesotidal","Pool",9,1.393,0.018,32.7,7.1,67.3,7.1,39.2,7.8,28.1,13.2,4.4,2.8,0.1,0.1,0.8,0.6,1.4,0.2,23.7,2.6
"88","Plum Island - PLHA","South","Plum Island - PLHA - South","No Action","Plum Island - PLHA - South - No Action",2024,2022,2,"Mesotidal","Pool",9,NA,NA,32.8,8.5,67.2,8.5,36.4,7.9,28.4,12.6,15.8,8.7,2.1,1.6,1.4,1.1,2.2,0.1,38.9,4.2
"89","Plum Island - PLHA","South","Plum Island - PLHA - South","Reference","Plum Island - PLHA - South - Reference",2022,2022,0,"Mesotidal","Pool",10,1.451,0.007,21.6,5.5,78.4,5.5,7.6,3.3,69.8,7.8,1,0.5,0,0,0,0,3.1,0.3,24.6,2.9
"90","Plum Island - PLHA","South","Plum Island - PLHA - South","Reference","Plum Island - PLHA - South - Reference",2024,2022,2,"Mesotidal","Pool",10,NA,NA,15.9,2.8,84.1,2.8,6.2,3,76.1,5.7,8,5.3,1.3,0.4,0,0,4,0.3,27.8,2.3
"91","Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel","Plum Island - PLHA - South - Runnel",2022,2022,0,"Mesotidal","Pool",7,1.502,0.032,58.6,14.7,41.4,14.7,23.4,10.3,17.9,9.3,29.6,18.2,0.1,0.1,0,0,1.4,0.5,12.1,4.5
"92","Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel","Plum Island - PLHA - South - Runnel",2024,2022,2,"Mesotidal","Pool",7,NA,NA,53,16.8,47,16.8,8.6,7,35.9,16.4,44.3,19.7,2.6,2.1,7.1,7.1,1.6,0.6,12.3,5.1
"93","Potters Pond","","Potters Pond","No Action","Potters Pond - No Action",2021,2018,3,"Microtidal","Pool",3,0.122,0.025,54.3,21.2,45.7,21.2,24,9.5,21.7,16.9,0,0,0,0,26,23.5,1.7,0.3,24.3,0.7
"94","Potters Pond","","Potters Pond","No Action","Potters Pond - No Action",2024,2018,6,"Microtidal","Pool",3,NA,NA,61.7,19.2,38.3,19.2,21.7,10.9,15,8.7,33.3,33.3,1.7,1.7,1.7,1.7,1.7,0.9,18.7,9.4
"95","Potters Pond","","Potters Pond","Reference","Potters Pond - Reference",2021,2018,3,"Microtidal","Pool",9,0.246,0.01,17.7,4.9,82.3,4.9,24,5.7,57.8,8.8,2.2,1.7,0,0,0,0,2.3,0.2,26.9,1.7
"96","Potters Pond","","Potters Pond","Reference","Potters Pond - Reference",2024,2018,6,"Microtidal","Pool",9,NA,NA,22,3.7,78,3.7,30.3,7.9,43.4,10.6,0.1,0.1,4.1,2.8,0,0,2.8,0.4,33.2,4.4
"97","Potters Pond","","Potters Pond","Runnel","Potters Pond - Runnel",2021,2018,3,"Microtidal","Pool",19,0.174,0.013,52.2,6.4,47.8,6.4,31.4,5.7,12.4,5.9,5.4,5.3,3.9,2.1,4.6,1.2,1.4,0.2,19.1,2.1
"98","Potters Pond","","Potters Pond","Runnel","Potters Pond - Runnel",2024,2018,6,"Microtidal","Pool",19,NA,NA,46.4,7.9,53.6,7.9,33.6,6.3,14.6,5.5,10.6,7.2,5.4,2.3,1.4,0.6,1.9,0.3,15.6,3.5
"99","Round Marsh","","Round Marsh","No Action","Round Marsh - No Action",2021,2014,7,"Microtidal","Panne",13,0.633,0.015,36.5,6.1,63.9,6.4,43.1,5.5,14.7,6.8,23.1,9.3,6.1,2.1,1.5,0.9,2.8,0.2,26.8,2.2
"100","Round Marsh","","Round Marsh","No Action","Round Marsh - No Action",2024,2014,10,"Microtidal","Panne",13,NA,NA,46,7.1,54,7.1,29.8,6,24.2,8.7,0.2,0.2,0,0,0.4,0.4,1.9,0.2,25.2,2.8
"101","Round Marsh","","Round Marsh","Reference","Round Marsh - Reference",2021,2014,7,"Microtidal","Panne",10,0.706,0.017,8.9,4.5,91.1,4.5,6.5,3.9,84.3,8.6,0,0,0.3,0.2,0,0,2.7,0.3,20.1,3.8
"102","Round Marsh","","Round Marsh","Reference","Round Marsh - Reference",2024,2014,10,"Microtidal","Panne",10,NA,NA,7.4,1.1,92.6,1.1,14.3,6.8,78.3,7.7,0,0,0,0,0,0,2.1,0.2,46.6,3.3
"103","Round Marsh","","Round Marsh","Runnel","Round Marsh - Runnel",2021,2014,7,"Microtidal","Panne",15,0.648,0.008,30.5,5.6,70.1,5.9,18.3,4.5,48.5,9.8,0.5,0.4,3.1,1.4,0.5,0.4,2.9,0.3,24.9,1.8
