"","Site","Sub_Site","Site_SubSite","Overall_Treatment","Site_Treatment","Year","Year_0","Time_Since_Restoration","Tidal_Regime","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","other_mean","salicornia_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"47","Moody Marsh","","Moody Marsh","Reference","Moody Marsh - Reference",2021,2011,10,"Mesotidal",1.432,2.2,9.6,90.4,82.8,3.7,1.7,0,4.5,23.2
"48","Moody Marsh","","Moody Marsh","Reference","Moody Marsh - Reference",2024,2011,13,"Mesotidal",NA,5.9,20.5,79.5,68.8,3.4,2.9,0,3.8,27
"49","Moody Marsh","","Moody Marsh","Runnel","Moody Marsh - Runnel",2021,2011,10,"Mesotidal",1.241,29.9,35.2,64.8,21.8,12,1,3.2,2.7,31.7
"50","Moody Marsh","","Moody Marsh","Runnel","Moody Marsh - Runnel",2024,2011,13,"Mesotidal",NA,18.9,44.5,55.5,24,8.3,4.3,8.9,3.2,25.4
"51","Narrow River","","Narrow River","No Action","Narrow River - No Action",2022,2016,6,"Microtidal",0.508,26.7,45.4,54.6,26.7,0,1.2,0,1.2,14.9
"52","Narrow River","","Narrow River","No Action","Narrow River - No Action",2024,2016,8,"Microtidal",NA,21.2,58.3,41.7,19.3,0,1.1,0,1.1,18.4
"53","Narrow River","","Narrow River","Reference","Narrow River - Reference",2022,2016,6,"Microtidal",0.442,42.6,13.1,86.9,44.2,0,0.1,0,1.4,22
"54","Narrow River","","Narrow River","Reference","Narrow River - Reference",2024,2016,8,"Microtidal",NA,24.4,41.8,58.2,33.4,0,0.3,0,1.9,23.3
"55","Narrow River","","Narrow River","Runnel","Narrow River - Runnel",2022,2016,6,"Microtidal",0.467,38.4,28.9,71.1,29,3.3,0.3,0,2.3,20
"56","Narrow River","","Narrow River","Runnel","Narrow River - Runnel",2024,2016,8,"Microtidal",NA,34.2,28.3,71.7,32.8,3.9,0.8,0,2.9,26.2
"57","Old Town Hill","","Old Town Hill","No Action","Old Town Hill - No Action",2022,2020,2,"Mesotidal",1.349,31.1,52.9,47.1,9.9,46.9,0.1,2.4,2,26.7
"58","Old Town Hill","","Old Town Hill","No Action","Old Town Hill - No Action",2024,2020,4,"Mesotidal",NA,31,46.4,53.6,8.1,44.4,0.2,0,1.8,50.1
"59","Old Town Hill","","Old Town Hill","Reference","Old Town Hill - Reference",2022,2020,2,"Mesotidal",1.485,5,14,86,79.8,1.2,0,0,3.8,26.5
"60","Old Town Hill","","Old Town Hill","Reference","Old Town Hill - Reference",2024,2020,4,"Mesotidal",NA,2.6,10.1,89.9,84.3,2.8,0.2,0,3.8,32
"61","Old Town Hill","","Old Town Hill","Runnel","Old Town Hill - Runnel",2022,2020,2,"Mesotidal",1.366,48.5,31.5,68.5,19.8,1.4,0.2,1.3,2,28.7
"62","Old Town Hill","","Old Town Hill","Runnel","Old Town Hill - Runnel",2024,2020,4,"Mesotidal",NA,44.7,26.9,73.1,25.9,0.3,2.3,0,2.5,34.3
"63","Pine Island","North","Pine Island - North","No Action","Pine Island - North - No Action",2021,2015,6,"Mesotidal",1.53,29.4,39,61,27.5,20.6,0.2,14.3,1.8,27
"64","Pine Island","North","Pine Island - North","No Action","Pine Island - North - No Action",2024,2015,9,"Mesotidal",NA,26.8,32.5,67.5,35.9,11.2,1.8,6.7,2.3,22.6
"65","Pine Island","North","Pine Island - North","Reference","Pine Island - North - Reference",2021,2015,6,"Mesotidal",1.523,0.2,7.5,92.5,91.7,0.5,0.1,0,2.5,18.2
"66","Pine Island","North","Pine Island - North","Reference","Pine Island - North - Reference",2024,2015,9,"Mesotidal",NA,0,7.5,92.5,91.7,0.7,0.2,0,2.5,20.2
"67","Pine Island","North","Pine Island - North","Runnel","Pine Island - North - Runnel",2021,2015,6,"Mesotidal",1.465,11.9,24.9,75.1,56.1,25.9,0,9.4,2.8,21.2
"68","Pine Island","North","Pine Island - North","Runnel","Pine Island - North - Runnel",2024,2015,9,"Mesotidal",NA,18.9,25.4,74.6,50,5.2,0.5,2.5,3,30.2
"69","Pine Island","South","Pine Island - South","Reference","Pine Island - South - Reference",2021,2015,6,"Mesotidal",1.493,5.3,13.8,86.2,80.3,0.6,0,0,2.2,16.6
"70","Pine Island","South","Pine Island - South","Reference","Pine Island - South - Reference",2024,2015,9,"Mesotidal",NA,7.1,10.8,89.2,79.8,1.9,0.4,0,2.8,20.5
"71","Pine Island","South","Pine Island - South","Runnel","Pine Island - South - Runnel",2021,2015,6,"Mesotidal",1.221,41,56,44,2.1,0,0.9,11.4,1.3,51.4
"72","Pine Island","South","Pine Island - South","Runnel","Pine Island - South - Runnel",2024,2015,9,"Mesotidal",NA,57.1,33.6,66.4,6.8,3.5,2,0.3,2,64.8
"73","Plum Island - DPR","North","Plum Island - DPR - North","Reference","Plum Island - DPR - North - Reference",2021,2016,5,"Mesotidal",1.495,2.5,6.4,93.6,72.8,18.8,0,0,4.1,20.2
"74","Plum Island - DPR","North","Plum Island - DPR - North","Reference","Plum Island - DPR - North - Reference",2024,2016,8,"Mesotidal",NA,1.6,6.4,93.6,67.7,24.3,0,0,4,17.2
"75","Plum Island - DPR","North","Plum Island - DPR - North","Runnel","Plum Island - DPR - North - Runnel",2021,2016,5,"Mesotidal",1.507,39.3,30,70,29.6,13.4,0,0,2.5,48.8
"76","Plum Island - DPR","North","Plum Island - DPR - North","Runnel","Plum Island - DPR - North - Runnel",2024,2016,8,"Mesotidal",NA,25.2,25.9,74.1,48.1,10.5,0.2,0.2,2.7,42.3
"77","Plum Island - DPR","South","Plum Island - DPR - South","No Action","Plum Island - DPR - South - No Action",2021,2017,4,"Mesotidal",1.494,40.4,36,64,19.4,21.8,2.9,3,2.2,37.3
"78","Plum Island - DPR","South","Plum Island - DPR - South","No Action","Plum Island - DPR - South - No Action",2024,2017,7,"Mesotidal",NA,41.4,41,59,13.6,17.9,2.9,7.5,2.3,31.9
"79","Plum Island - DPR","South","Plum Island - DPR - South","Reference","Plum Island - DPR - South - Reference",2021,2017,4,"Mesotidal",1.501,3.2,8.6,91.4,85.2,2.9,0,0,2.5,22.6
"80","Plum Island - DPR","South","Plum Island - DPR - South","Reference","Plum Island - DPR - South - Reference",2024,2017,7,"Mesotidal",NA,6.1,17.2,82.8,74.3,1.9,0.5,0,2.7,22.6
"81","Plum Island - DPR","South","Plum Island - DPR - South","Runnel","Plum Island - DPR - South - Runnel",2021,2017,4,"Mesotidal",1.528,38.2,22.2,77.8,21.6,12.4,6.4,0.9,3.1,48.2
"82","Plum Island - DPR","South","Plum Island - DPR - South","Runnel","Plum Island - DPR - South - Runnel",2024,2017,7,"Mesotidal",NA,30.9,29.1,70.9,32.1,6.9,1.1,0,4.9,48.2
"83","Plum Island - PLHA","North","Plum Island - PLHA - North","Reference","Plum Island - PLHA - North - Reference",2022,2022,0,"Mesotidal",1.46,3.7,9.6,90.4,79,7.7,0,0,3.2,24.2
"84","Plum Island - PLHA","North","Plum Island - PLHA - North","Reference","Plum Island - PLHA - North - Reference",2024,2022,2,"Mesotidal",NA,2.3,12.3,87.7,76.9,8.6,0.4,0,3.5,18.1
"85","Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel","Plum Island - PLHA - North - Runnel",2022,2022,0,"Mesotidal",1.482,39.6,53.5,46.5,3.3,0.5,3,1.8,2.2,21.8
"86","Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel","Plum Island - PLHA - North - Runnel",2024,2022,2,"Mesotidal",NA,40.5,41.5,58.5,13.5,19.5,3.2,1.8,2.5,50.5
"87","Plum Island - PLHA","South","Plum Island - PLHA - South","No Action","Plum Island - PLHA - South - No Action",2022,2022,0,"Mesotidal",1.393,39.2,32.7,67.3,28.1,4.4,0.1,0.8,1.4,23.7
"88","Plum Island - PLHA","South","Plum Island - PLHA - South","No Action","Plum Island - PLHA - South - No Action",2024,2022,2,"Mesotidal",NA,36.4,32.8,67.2,28.4,15.8,2.1,1.4,2.2,38.9
"89","Plum Island - PLHA","South","Plum Island - PLHA - South","Reference","Plum Island - PLHA - South - Reference",2022,2022,0,"Mesotidal",1.451,7.6,21.6,78.4,69.8,1,0,0,3.1,24.6
"90","Plum Island - PLHA","South","Plum Island - PLHA - South","Reference","Plum Island - PLHA - South - Reference",2024,2022,2,"Mesotidal",NA,6.2,15.9,84.1,76.1,8,1.3,0,4,27.8
"91","Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel","Plum Island - PLHA - South - Runnel",2022,2022,0,"Mesotidal",1.502,23.4,58.6,41.4,17.9,29.6,0.1,0,1.4,12.1
"92","Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel","Plum Island - PLHA - South - Runnel",2024,2022,2,"Mesotidal",NA,8.6,53,47,35.9,44.3,2.6,7.1,1.6,12.3
"93","Potters Pond","","Potters Pond","No Action","Potters Pond - No Action",2021,2018,3,"Microtidal",0.122,24,54.3,45.7,21.7,0,0,26,1.7,24.3
"94","Potters Pond","","Potters Pond","No Action","Potters Pond - No Action",2024,2018,6,"Microtidal",NA,21.7,61.7,38.3,15,33.3,1.7,1.7,1.7,18.7
"95","Potters Pond","","Potters Pond","Reference","Potters Pond - Reference",2021,2018,3,"Microtidal",0.246,24,17.7,82.3,57.8,2.2,0,0,2.3,26.9
"96","Potters Pond","","Potters Pond","Reference","Potters Pond - Reference",2024,2018,6,"Microtidal",NA,30.3,22,78,43.4,0.1,4.1,0,2.8,33.2
"97","Potters Pond","","Potters Pond","Runnel","Potters Pond - Runnel",2021,2018,3,"Microtidal",0.174,31.4,52.2,47.8,12.4,5.4,3.9,4.6,1.4,19.1
"98","Potters Pond","","Potters Pond","Runnel","Potters Pond - Runnel",2024,2018,6,"Microtidal",NA,33.6,46.4,53.6,14.6,10.6,5.4,1.4,1.9,15.6
"99","Round Marsh","","Round Marsh","No Action","Round Marsh - No Action",2021,2014,7,"Microtidal",0.633,43.1,36.5,63.9,14.7,23.1,6.1,1.5,2.8,26.8
"100","Round Marsh","","Round Marsh","No Action","Round Marsh - No Action",2024,2014,10,"Microtidal",NA,29.8,46,54,24.2,0.2,0,0.4,1.9,25.2
"101","Round Marsh","","Round Marsh","Reference","Round Marsh - Reference",2021,2014,7,"Microtidal",0.706,6.5,8.9,91.1,84.3,0,0.3,0,2.7,20.1
"102","Round Marsh","","Round Marsh","Reference","Round Marsh - Reference",2024,2014,10,"Microtidal",NA,14.3,7.4,92.6,78.3,0,0,0,2.1,46.6
"103","Round Marsh","","Round Marsh","Runnel","Round Marsh - Runnel",2021,2014,7,"Microtidal",0.648,18.3,30.5,70.1,48.5,0.5,3.1,0.5,2.9,24.9
"104","Round Marsh","","Round Marsh","Runnel","Round Marsh - Runnel",2024,2014,10,"Microtidal",NA,31.7,22.9,77.1,44.6,0.5,0.2,0,2.7,33.6
"105","Sapowet","North","Sapowet - North","Reference","Sapowet - North - Reference",2022,2018,4,"Microtidal",0.615,3.8,16.5,83.5,77.9,0.8,1.1,0,2.4,24.8
"106","Sapowet","North","Sapowet - North","Reference","Sapowet - North - Reference",2024,2018,6,"Microtidal",NA,5.2,19.4,80.6,74.4,0.5,0.5,0,2.6,31.6
"107","Sapowet","North","Sapowet - North","Runnel","Sapowet - North - Runnel",2022,2018,4,"Microtidal",0.626,13.7,51,49,31.9,2.2,1.2,0,1.9,18.4
"108","Sapowet","North","Sapowet - North","Runnel","Sapowet - North - Runnel",2024,2018,6,"Microtidal",NA,43.2,32.2,67.8,21.6,1.8,1.2,0,2.7,36.9
"109","Sapowet","South","Sapowet - South","No Action","Sapowet - South - No Action",2022,2022,0,"Microtidal",0.666,28.3,51.7,48.3,19.8,8.2,0,7,1.6,20.6
"110","Sapowet","South","Sapowet - South","No Action","Sapowet - South - No Action",2024,2022,2,"Microtidal",NA,27.8,51.3,48.7,20.6,45.6,0.2,1.5,1.8,27.1
"111","Sapowet","South","Sapowet - South","Runnel","Sapowet - South - Runnel",2022,2022,0,"Microtidal",0.668,39.9,33.7,66.3,20.6,1.9,4,0,2,20.7
"112","Sapowet","South","Sapowet - South","Runnel","Sapowet - South - Runnel",2024,2022,2,"Microtidal",NA,24.1,55.9,44.1,18.3,39.7,0.9,1.1,2,30.7
"113","Weekapaug","","Weekapaug","No Action","Weekapaug - No Action",2021,2017,4,"Microtidal",0.175,11.9,63.1,36.2,21.9,49.2,2,4.4,2.1,25.5
"114","Weekapaug","","Weekapaug","No Action","Weekapaug - No Action",2024,2017,7,"Microtidal",NA,16.8,59.8,40.2,18.9,34,4.4,17.2,2.1,27
"115","Weekapaug","","Weekapaug","Reference","Weekapaug - Reference",2021,2017,4,"Microtidal",0.245,8.8,28.1,71.9,58,3.2,1.9,0.6,3.6,27.8
"116","Weekapaug","","Weekapaug","Reference","Weekapaug - Reference",2024,2017,7,"Microtidal",NA,10.5,26.5,73.5,57.2,2.2,3.5,1.6,4.4,26
"117","Weekapaug","","Weekapaug","Runnel","Weekapaug - Runnel",2021,2017,4,"Microtidal",0.199,38.2,50.7,49.3,10.2,8.9,0.3,14.2,1.8,22.8
"118","Weekapaug","","Weekapaug","Runnel","Weekapaug - Runnel",2024,2017,7,"Microtidal",NA,36.3,50.7,49.3,11.4,8.7,1.2,20.7,1.8,29.8
"119","Winnapaug","","Winnapaug","No Action","Winnapaug - No Action",2021,2013,8,"Microtidal",0.203,21.2,40,60,22.5,17.8,16,0,2.8,27
"120","Winnapaug","","Winnapaug","No Action","Winnapaug - No Action",2024,2013,11,"Microtidal",NA,35.6,32,68,24.5,11.5,7.6,3.8,2.9,33.6
"121","Winnapaug","","Winnapaug","Reference","Winnapaug - Reference",2021,2013,8,"Microtidal",0.252,9.4,20.6,79.4,67.1,2.2,0.7,0,3.8,23.6
"122","Winnapaug","","Winnapaug","Reference","Winnapaug - Reference",2024,2013,11,"Microtidal",NA,12.1,31.6,68.4,54.1,0.2,2,0,3.7,22.9
"123","Winnapaug","","Winnapaug","Runnel","Winnapaug - Runnel",2021,2013,8,"Microtidal",0.226,25.9,36.5,63.5,15.2,9.4,19,0,3.4,23.6
"124","Winnapaug","","Winnapaug","Runnel","Winnapaug - Runnel",2024,2013,11,"Microtidal",NA,20.8,50.4,49.6,21.1,17.9,6.8,7,2.4,23.8
