"","Site_Treatment","Year","Overall_Treatment","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Age_Classification","SPALT","AGMAR","ATPAT","IVFRU","LYNAS","LYMAR","PLMAR","RUMAR","SOSEM","SULIN","SYTEN","Canopy_Height_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"11","Jacobs Point - Runnel",2021,"Runnel",5,"Microtidal","Panne","Older Restoration",3,0,0.12,3.75,0,0,0,0,0,0,0,25,5.88,94.12,83.62,0.06,"Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,11.1,42.1,0.074,31.6,54.4,0.024,0.027
"12","Jacobs Point - Runnel",2024,"Runnel",8,"Microtidal","Panne","Older Restoration",5.38,0,0,3.12,0,0,0,0,0,0,0,43.25,25.25,74.75,63.5,0.12,"Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,2.6,24.1,0.088,34.5,41.4,0.038,0.089
"13","Kents Island - Runnel",2022,"Runnel",0,"Mesotidal","Panne","Early Restoration",36.14,0,0.1,0.14,0,0,0,0,0,0,0,22.95,46.19,53.81,15.05,2.05,"Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,37.5,42.1,0.043,66.3,57.9,-0.007,0.09
"14","Kents Island - Runnel",2024,"Runnel",2,"Mesotidal","Panne","Early Restoration",45.48,0,0,0,0,0,0,0,0,0,0,35.1,34.05,65.95,18.71,1.71,"Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,8.6,38.6,0.1,27.3,54.4,0.05,0.087
"15","Middlebridge - Runnel",2022,"Runnel",6,"Microtidal","Pool","Older Restoration",47.89,0,0,0,0,0,0,0,0,0,0,21.56,22.89,77.11,28.11,1.11,"Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,55.9,86,0.046,73.5,93,-0.004,0.082
"16","Middlebridge - Runnel",2024,"Runnel",8,"Microtidal","Pool","Older Restoration",28,0,0,0,0,0,0,0,0,0,0,21.11,42.78,57.22,29.22,0,"Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,13.6,58.6,0.184,18.2,74.1,0.134,0.154
"17","Moody Marsh - Runnel",2021,"Runnel",10,"Mesotidal","Pool","Older Restoration",29.94,0,0.59,0,0.12,0.12,4.59,0,0,6.62,0,31.71,35.24,64.76,21.76,1.03,"Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,12.5,62.5,0.081,34,66.1,0.031,0.028
"18","Moody Marsh - Runnel",2024,"Runnel",13,"Mesotidal","Pool","Older Restoration",18.94,0.35,0.24,0,0.24,0,2.47,0,0,5,0,25.41,44.47,55.53,24,4.29,"Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,18.2,71.9,0.122,29.1,78.9,0.072,0.099
"19","Narrow River - Runnel",2022,"Runnel",6,"Microtidal","Pool","Older Restoration",38.44,2.78,0,0,0,0,0,0,0,0,0.56,20,28.89,71.11,29,0.33,"Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,7.5,22.8,0.224,13.8,36.8,0.174,0.111
"20","Narrow River - Runnel",2024,"Runnel",8,"Microtidal","Pool","Older Restoration",34.22,3.33,0,0,0.33,0,0,0,0,0,0.22,26.22,28.33,71.67,32.78,0.78,"Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,12,17.2,0.182,15.4,32.8,0.132,0.14
"21","Old Town Hill - Runnel",2022,"Runnel",2,"Mesotidal","Panne","Early Restoration",48.48,0,0.07,0,0,0,0,0,0,0,0,28.7,31.48,68.52,19.78,0.19,"Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,4.7,33.3,0.112,20.8,45.6,0.062,0.103
"22","Old Town Hill - Runnel",2024,"Runnel",4,"Mesotidal","Panne","Early Restoration",44.67,0,0.11,0,0,0,0,0,0,0,0,34.3,26.89,73.11,25.89,2.26,"Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,6.8,36.8,0.06,48.3,63.2,0.01,0.06
"23","Plum Island - DPR - North - Runnel",2021,"Runnel",5,"Mesotidal","Panne","Older Restoration",39.29,0,0.06,0.91,0,0.09,0,0,0,0,0,48.82,30.03,69.97,29.59,0.03,"Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,38.5,17,0.034,69.2,20.8,-0.016,0.079
"24","Plum Island - DPR - North - Runnel",2021,"Runnel",5,"Mesotidal","Panne","Older Restoration",39.29,0,0.06,0.91,0,0.09,0,0,0,0,0,48.82,30.03,69.97,29.59,0.03,"Panne",1.293,1.405,1.971,2.893,0.229,7.92,0.117,4.04,-0.449,-15.52,38.5,17,0.034,69.2,20.8,-0.016,0.079
"25","Plum Island - DPR - North - Runnel",2024,"Runnel",8,"Mesotidal","Panne","Older Restoration",25.24,0,0.18,0.06,0,0.24,0,0,0,0,0,42.29,25.94,74.06,48.12,0.18,"Panne",1.293,1.405,1.971,2.893,0.229,7.92,0.117,4.04,-0.449,-15.52,8,32.8,0.106,38.6,41.4,0.056,0.121
"26","Plum Island - DPR - North - Runnel",2024,"Runnel",8,"Mesotidal","Panne","Older Restoration",25.24,0,0.18,0.06,0,0.24,0,0,0,0,0,42.29,25.94,74.06,48.12,0.18,"Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,8,32.8,0.106,38.6,41.4,0.056,0.121
"27","Plum Island - DPR - South - Runnel",2021,"Runnel",4,"Mesotidal","Panne","Early Restoration",38.24,0,5.88,1.18,0.03,0,0,0,0,0.29,1.74,48.18,22.24,77.76,21.65,6.41,"Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,4.5,17,0.111,21.3,20.8,0.061,0.077
"28","Plum Island - DPR - South - Runnel",2024,"Runnel",7,"Mesotidal","Panne","Older Restoration",30.88,0,0.71,3.88,0,0.12,0,0,0.24,0,0.47,48.24,29.06,70.94,32.12,1.06,"Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,24.2,31,0.092,38.2,39.7,0.042,0.129
"29","Plum Island - PLHA - North - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",39.64,0,0.55,0,0,0,0,0,0,0,0,21.82,53.55,46.45,3.27,3,"Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,42.3,28.1,0.041,60.3,43.9,-0.009,0.146
"30","Plum Island - PLHA - North - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",40.55,0,0.36,0.45,0,0,0,0,0.45,0.09,0,50.45,41.45,58.55,13.45,3.18,"Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,26.6,39.7,0.073,42,41.4,0.023,0.149
"31","Plum Island - PLHA - South - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",23.36,0,0,0,0,0,0,0,0,0,0,12.14,58.57,41.43,17.93,0.14,"Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,6.1,24.6,0.159,9.6,40.4,0.109,0.095
"32","Plum Island - PLHA - South - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",8.57,0,0,0,0,0,0,0,0,0,0,12.29,53,47,35.86,2.57,"Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,13.7,34.5,0.083,32.3,41.4,0.033,0.098
"33","Potters Pond - Runnel",2021,"Runnel",3,"Microtidal","Pool","Early Restoration",31.37,0,0,0,0.11,0,0,0,0,0,0,19.05,52.16,47.84,12.42,3.95,"Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,42.3,85.7,0.063,67.4,94.6,0.013,0.079
"34","Potters Pond - Runnel",2024,"Runnel",6,"Microtidal","Pool","Older Restoration",33.58,0,0,0,0.05,0,0,0,0,0,0,15.64,46.42,53.58,14.58,5.37,"Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,29.2,56.9,0.091,59.1,74.1,0.041,0.112
"35","Round Marsh - Runnel",2024,"Runnel",10,"Microtidal","Panne","Older Restoration",31.73,0,0,0,0.53,0,0,0,0,0,0,33.6,22.93,77.07,44.6,0.2,"Panne",0.679,0.736,1.006,1.056,-0.031,-2.94,-0.088,-8.33,-0.358,-33.9,9.4,37.9,0.064,67.4,51.7,0.014,0.126
"36","Sapowet - North - Runnel",2022,"Runnel",4,"Microtidal","Pool","Early Restoration",13.67,0,0,2,0.22,0,0,0,0,0,0,18.44,51,49,31.89,1.22,"Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,2.3,10.3,0.187,11.8,13.8,0.137,0.14
"37","Sapowet - North - Runnel",2024,"Runnel",6,"Microtidal","Pool","Older Restoration",43.22,0,0,0,1.78,0,0,0,0,0,0,36.89,32.22,67.78,21.56,1.22,"Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,10.2,33.3,0.091,38.6,43.9,0.041,0.118
"38","Sapowet - South - Runnel",2022,"Runnel",0,"Microtidal","Pool","Early Restoration",39.89,0,0,0,1,0,0,0.89,0,0,0,20.67,33.67,66.33,20.56,4,"Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,5.1,13.8,0.148,13.6,25.9,0.098,0.097
"39","Sapowet - South - Runnel",2024,"Runnel",2,"Microtidal","Pool","Early Restoration",24.11,0,0,0,0.78,0,0,0,0,0,0,30.67,55.89,44.11,18.33,0.89,"Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,15,43.9,0.072,44.7,50.9,0.022,0.11
"40","Weekapaug - Runnel",2021,"Runnel",4,"Microtidal","Pool","Early Restoration",38.17,0,0,0.17,0,0,0,0,0,0,0.42,22.83,50.67,49.33,10.25,0.33,"Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,76.2,96.4,0.003,97.1,100,-0.047,0.077
"41","Weekapaug - Runnel",2024,"Runnel",7,"Microtidal","Pool","Older Restoration",36.33,0,0,0,0,0,0,0,0,0,0.33,29.83,50.67,49.33,11.42,1.25,"Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,21.8,67.2,0.11,29.1,82.8,0.06,0.171
"42","Winnapaug - Runnel",2021,"Runnel",8,"Microtidal","Pool","Older Restoration",25.9,0,0,2.5,0.2,0,0,0,0,0,0.6,23.6,36.5,63.5,15.2,19,"Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,34.1,92.7,0.069,42.2,100,0.019,0.056
"43","Winnapaug - Runnel",2024,"Runnel",11,"Microtidal","Pool","Older Restoration",20.8,0,0,0.5,0,0,0,0,0,0,0.4,23.8,50.4,49.6,21.1,6.8,"Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,48.8,62.1,0.029,86.5,72.4,-0.021,0.145
