"","Site_Treatment","Year","Overall_Treatment","Time_Since_Restoration","Tidal_Regime","Marsh_Condition","Age_Classification","SPALT","AGMAR","ATPAT","IVFRU","LYNAS","LYMAR","PLMAR","RUMAR","SOSEM","SULIN","SYTEN","TRMAR","Canopy_Height_cm","abiotic_cover","live_cover","high_marsh_grams","salicornia","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"16","Essex - South - Reference",2022,"Reference",0,"Mesotidal","Pool","Reference",1.78,0,0,0,0,0,0,0,0,0,0,0,16.44,12.89,87.11,85.33,0,"",1.353,1.447,1.759,2.893,0.054,1.87,-0.04,-1.38,-0.352,-12.17,3.8,28.1,0.087,46.8,28.1,0.037,0.08
"17","Essex - South - Reference",2024,"Reference",2,"Mesotidal","Pool","Reference",3.33,0,0,0,0,0,0,0,0,0,0,0,22.56,32.22,67.78,63.89,0.56,"",1.353,1.447,1.759,2.893,0.054,1.87,-0.04,-1.38,-0.352,-12.17,32.4,43.9,0.074,45,45.6,0.024,0.127
"18","Essex - South - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",32,0,0,0,0,0,0,0,1,0,0,0,22.6,28.2,71.8,38.8,0,"Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,8.8,45.6,0.077,29.3,57.9,0.027,0.049
"19","Essex - South - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",55,0,0,0,0.8,0,1.2,0,0,1,0,0,53.6,30.6,69.4,11.2,0.2,"Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,21,61.4,0.07,57.9,80.7,0.02,0.104
"20","Ipswich - No Action",2022,"No Action",0,"Mesotidal","Panne","Pre-Restoration",26.25,0,0,0,0,0,0,0,0,0,0,0,15.25,54.17,45.83,18.92,0.67,"",1.35,1.446,1.703,2.893,-0.093,-3.21,-0.189,-6.53,-0.446,-15.42,92,45.6,-0.022,100,49.1,-0.072,0.056
"21","Ipswich - No Action",2024,"No Action",2,"Mesotidal","Panne","Pre-Restoration",29.83,0,0,0,0.17,0,0,0,0,0,0,0,18.83,51.83,48.17,17.58,0.58,"",1.35,1.446,1.703,2.893,-0.093,-3.21,-0.189,-6.53,-0.446,-15.42,5.9,27.6,0.052,61.3,36.2,0.002,0.084
"22","Ipswich - Reference",2024,"Reference",2,"Mesotidal","Panne","Reference",6.9,0,0,0,0,0,0,0,0,0,0,0,20.7,12.3,87.7,79.9,0.9,"",1.35,1.446,1.703,2.893,-0.147,-5.08,-0.243,-8.4,-0.5,-17.28,14.4,29.3,0.128,41.9,36.2,0.078,0.157
"23","Ipswich - Runnel",2022,"Runnel",0,"Mesotidal","Panne","Early Restoration",27.08,0,0,0,0,0,0,0,0,0,0,0,11.83,60.58,39.42,9,3.33,"Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,4.8,43.9,0.052,73,47.4,0.002,0.056
"24","Ipswich - Runnel",2024,"Runnel",2,"Mesotidal","Panne","Early Restoration",35.75,0,0,0,0.08,0,0,0,0,0,0,0,20.33,57.58,42.42,5.83,0.75,"Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,17.2,25.9,0.053,55.1,27.6,0.003,0.072
"25","Jacobs Point - No Action",2021,"No Action",5,"Microtidal","Panne","Pre-Restoration",20.58,0,0,0,0,0,0,0,0,0,0,0,37.42,48.08,51.92,31.33,0,"",0.808,0.864,1.263,1.056,-0.02,-1.89,-0.076,-7.2,-0.475,-44.98,76.1,63.2,0.004,100,68.4,-0.046,0.045
"26","Jacobs Point - No Action",2024,"No Action",8,"Microtidal","Panne","Pre-Restoration",43.08,0,0,0,0,0,0,0,0,0,0,0,41.25,33.33,66.67,23.33,0.25,"",0.808,0.864,1.263,1.056,-0.02,-1.89,-0.076,-7.2,-0.475,-44.98,12.9,48.3,0.063,72.5,51.7,0.013,0.183
"27","Jacobs Point - Reference",2021,"Reference",5,"Microtidal","Panne","Reference",1.44,0,0,0,0,0,0,0,0,0,0.56,0,22.56,15,85,83,0,"",0.808,0.864,1.263,1.056,0.012,1.14,-0.044,-4.17,-0.443,-41.95,8.9,56.1,0.036,84,63.2,-0.014,0.096
"28","Jacobs Point - Reference",2024,"Reference",8,"Microtidal","Panne","Reference",0.56,0,0,0,0,0,0,0,0,0,0.44,0,27.11,24.89,75.11,73.67,0.44,"",0.808,0.864,1.263,1.056,0.012,1.14,-0.044,-4.17,-0.443,-41.95,4,43.1,0.132,17.2,50,0.082,0.175
"29","Jacobs Point - Runnel",2021,"Runnel",5,"Microtidal","Panne","Older Restoration",3,0,0.12,3.75,0,0,0,0,0,0,0,0,25,5.88,94.12,83.62,0.06,"Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,11.1,42.1,0.074,31.6,54.4,0.024,0.027
"30","Jacobs Point - Runnel",2024,"Runnel",8,"Microtidal","Panne","Older Restoration",5.38,0,0,3.12,0,0,0,0,0,0,0,0,43.25,25.25,74.75,63.5,0.12,"Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,2.6,24.1,0.088,34.5,41.4,0.038,0.089
"31","Kents Island - No Action",2022,"No Action",0,"Mesotidal","Panne","Pre-Restoration",30.33,0,0,0,0,0,0,0,0,0,0,0,20.07,58.53,41.47,9.87,1.27,"",1.381,1.5,1.829,2.893,0.039,1.35,-0.08,-2.77,-0.409,-14.14,57.6,40.4,0.025,77.9,56.1,-0.025,0.13
"32","Kents Island - No Action",2024,"No Action",2,"Mesotidal","Panne","Pre-Restoration",49.47,0,0,0,0,0,0,0,0,0,0,0,29.87,40.33,59.67,9.53,0.67,"",1.381,1.5,1.829,2.893,0.039,1.35,-0.08,-2.77,-0.409,-14.14,36.6,33.3,0.049,69.7,52.6,-0.001,0.131
"33","Kents Island - Runnel",2022,"Runnel",0,"Mesotidal","Panne","Early Restoration",36.14,0,0.1,0.14,0,0,0,0,0,0,0,0,22.95,46.19,53.81,15.05,2.05,"Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,37.5,42.1,0.043,66.3,57.9,-0.007,0.09
"34","Kents Island - Runnel",2024,"Runnel",2,"Mesotidal","Panne","Early Restoration",45.48,0,0,0,0,0,0,0,0,0,0,0,35.1,34.05,65.95,18.71,1.71,"Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,8.6,38.6,0.1,27.3,54.4,0.05,0.087
"35","Middlebridge - No Action",2022,"No Action",6,"Microtidal","Pool","Pre-Restoration",25.1,0,0,0,0,0,0,0,0,0,0,0,10.5,66,34,6.6,2.3,"",0.448,0.497,0.764,1.056,0.006,0.57,-0.043,-4.07,-0.31,-29.36,59.9,42.1,0.004,98.6,61.4,-0.046,0.06
"36","Middlebridge - No Action",2024,"No Action",8,"Microtidal","Pool","Pre-Restoration",24.8,0,0,0,0,0,0,0,0,0,0,0,14.4,65.7,34.3,7.2,2.3,"",0.448,0.497,0.764,1.056,0.006,0.57,-0.043,-4.07,-0.31,-29.36,4.9,20.7,0.065,59,37.9,0.015,0.103
"37","Middlebridge - Reference",2022,"Reference",6,"Microtidal","Pool","Reference",18.14,0,0,0,0,0,0,0,0,0,0,0,26.71,23.86,76.14,56.57,1.43,"",0.448,0.497,0.764,1.056,-0.021,-1.99,-0.07,-6.63,-0.337,-31.91,35.3,56.1,0.072,48.5,68.4,0.022,0.132
"38","Middlebridge - Reference",2024,"Reference",8,"Microtidal","Pool","Reference",14.57,0,0,0,0,0,0,0,0,0,0,0,27.86,15,85,68.71,1.71,"",0.448,0.497,0.764,1.056,-0.021,-1.99,-0.07,-6.63,-0.337,-31.91,6.3,27.6,0.14,35.5,46.6,0.09,0.184
"39","Middlebridge - Runnel",2022,"Runnel",6,"Microtidal","Pool","Older Restoration",47.89,0,0,0,0,0,0,0,0,0,0,0,21.56,22.89,77.11,28.11,1.11,"Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,55.9,86,0.046,73.5,93,-0.004,0.082
"40","Middlebridge - Runnel",2024,"Runnel",8,"Microtidal","Pool","Older Restoration",28,0,0,0,0,0,0,0,0,0,0,0,21.11,42.78,57.22,29.22,0,"Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,13.6,58.6,0.184,18.2,74.1,0.134,0.154
"41","Moody Marsh - No Action",2021,"No Action",10,"Mesotidal","Pool","Pre-Restoration",28.21,0,0,0,0,0,0,2.86,0,0,0,0,24.92,50.57,49.43,17.93,0.43,"",1.252,1.38,2.047,2.487,0.282,11.34,0.154,6.19,-0.513,-20.63,100,16.1,-0.033,100,17.9,-0.083,0.013
"42","Moody Marsh - No Action",2024,"No Action",13,"Mesotidal","Pool","Pre-Restoration",19.21,0,0,0,0,0,0,2.93,0,0,0,0,22,60.07,39.93,15.29,0.07,"",1.252,1.38,2.047,2.487,0.282,11.34,0.154,6.19,-0.513,-20.63,27,19.3,0.025,88.3,22.8,-0.025,0.081
"43","Moody Marsh - Reference",2021,"Reference",10,"Mesotidal","Pool","Reference",2.15,0,0,0,0.23,2.31,1.15,0,0,0,0,0,23.23,9.62,90.38,82.85,1.69,"",1.252,1.38,2.047,2.487,0.18,7.24,0.052,2.09,-0.615,-24.73,54.6,25,0.057,60.9,26.8,0.007,0.15
"44","Moody Marsh - Reference",2024,"Reference",13,"Mesotidal","Pool","Reference",5.92,0,0,0,0.15,1.31,0.31,0,0,0.08,0,0,27,20.54,79.46,68.77,2.92,"",1.252,1.38,2.047,2.487,0.18,7.24,0.052,2.09,-0.615,-24.73,5.1,29.8,0.107,56.6,35.1,0.057,0.185
"45","Moody Marsh - Runnel",2021,"Runnel",10,"Mesotidal","Pool","Older Restoration",29.94,0,0.59,0,0.12,0.12,4.59,0,0,6.62,0,0,31.71,35.24,64.76,21.76,1.03,"Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,12.5,62.5,0.081,34,66.1,0.031,0.028
"46","Moody Marsh - Runnel",2024,"Runnel",13,"Mesotidal","Pool","Older Restoration",18.94,0.35,0.24,0,0.24,0,2.47,0,0,5,0,0,25.41,44.47,55.53,24,4.29,"Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,18.2,71.9,0.122,29.1,78.9,0.072,0.099
"47","Narrow River - No Action",2022,"No Action",6,"Microtidal","Pool","Pre-Restoration",26.67,0,0,0,0,0,0,0,0,0,0,0,14.89,45.44,54.56,26.67,1.22,"",0.382,0.438,0.654,1.056,0.126,11.93,0.07,6.63,-0.146,-13.83,32.9,10.5,0.087,40.6,26.3,0.037,0.134
"48","Narrow River - No Action",2024,"No Action",8,"Microtidal","Pool","Pre-Restoration",21.22,0,0,0,0,0,0,0,0,0,0,0,18.44,58.33,41.67,19.33,1.11,"",0.382,0.438,0.654,1.056,0.126,11.93,0.07,6.63,-0.146,-13.83,2.7,6.9,0.064,49,19,0.014,0.11
"49","Narrow River - Reference",2022,"Reference",6,"Microtidal","Pool","Reference",42.56,0,0,0,0,0,0,0,0,0,0,0,22,13.11,86.89,44.22,0.11,"",0.382,0.438,0.654,1.056,0.06,5.68,0.004,0.38,-0.212,-20.08,29,31.6,0.055,37.7,43.9,0.005,0.095
"50","Narrow River - Reference",2024,"Reference",8,"Microtidal","Pool","Reference",24.44,0,0,0,0,0,0,0,0,0,0,0,23.33,41.78,58.22,33.44,0.33,"",0.382,0.438,0.654,1.056,0.06,5.68,0.004,0.38,-0.212,-20.08,48.3,24.1,0.027,70.7,43.1,-0.023,0.118
"51","Narrow River - Runnel",2022,"Runnel",6,"Microtidal","Pool","Older Restoration",38.44,2.78,0,0,0,0,0,0,0,0,0.56,0,20,28.89,71.11,29,0.33,"Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,7.5,22.8,0.224,13.8,36.8,0.174,0.111
"52","Narrow River - Runnel",2024,"Runnel",8,"Microtidal","Pool","Older Restoration",34.22,3.33,0,0,0.33,0,0,0,0,0,0.22,0,26.22,28.33,71.67,32.78,0.78,"Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,12,17.2,0.182,15.4,32.8,0.132,0.14
"53","Old Town Hill - No Action",2022,"No Action",2,"Mesotidal","Panne","Pre-Restoration",31.09,0,0.18,0.09,0,0,0,4.82,0,0,0,0,26.73,52.91,47.09,9.91,0.09,"",1.388,1.495,1.762,2.893,-0.039,-0.146,-0.413,-1.35,-5.05,-14.28,100,66.7,-0.109,100,73.7,-0.159,0.095
"54","Old Town Hill - No Action",2024,"No Action",4,"Mesotidal","Panne","Pre-Restoration",31,0,0.18,0,0,0,0,12.27,0,0,0,0,50.12,46.36,53.64,8.09,0.18,"",1.388,1.495,1.762,2.893,-0.039,-0.146,-0.413,-1.35,-5.05,-14.28,100,68.4,-0.144,100,75.4,-0.194,0.02
"55","Old Town Hill - Reference",2022,"Reference",2,"Mesotidal","Panne","Reference",5,0,0,0.25,0,0,0,0,0.42,0,0,0,26.5,14,86,79.83,0,"",1.388,1.495,1.762,2.893,0.097,-0.01,-0.277,3.35,-0.35,-9.57,27.7,28.1,0.154,33.4,40.4,0.104,0.138
"56","Old Town Hill - Runnel",2022,"Runnel",2,"Mesotidal","Panne","Early Restoration",48.48,0,0.07,0,0,0,0,0,0,0,0,0,28.7,31.48,68.52,19.78,0.19,"Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,4.7,33.3,0.112,20.8,45.6,0.062,0.103
"57","Old Town Hill - Runnel",2024,"Runnel",4,"Mesotidal","Panne","Early Restoration",44.67,0,0.11,0,0,0,0,0,0,0,0,0,34.3,26.89,73.11,25.89,2.26,"Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,6.8,36.8,0.06,48.3,63.2,0.01,0.06
"58","Plum Island - DPR - North - Reference",2021,"Reference",5,"Mesotidal","Panne","Reference",2.52,0,0.14,0,0,16.44,0.04,0,0.04,0,0,1.56,20.24,6.38,93.62,72.84,0.04,"",1.293,1.405,1.971,2.893,0.202,6.98,0.09,3.11,-0.476,-16.45,40.1,17,0.061,52.1,22.6,0.011,0.099
"59","Plum Island - DPR - North - Reference",2024,"Reference",8,"Mesotidal","Panne","Reference",1.64,0,0.12,0,0,22.92,0,0,0,0,0,1.24,17.24,6.36,93.64,67.68,0,"",1.293,1.405,1.971,2.893,0.202,6.98,0.09,3.11,-0.476,-16.45,3.3,34.5,0.174,19.2,41.4,0.124,0.144
"60","Plum Island - DPR - North - Runnel",2021,"Runnel",5,"Mesotidal","Panne","Older Restoration",39.29,0,0.06,0.91,0,0.09,0,0,0,0,0,0,48.82,30.03,69.97,29.59,0.03,"Panne",1.293,1.405,1.971,2.893,0.229,7.92,0.117,4.04,-0.449,-15.52,38.5,17,0.034,69.2,20.8,-0.016,0.079
"61","Plum Island - DPR - North - Runnel",2021,"Runnel",5,"Mesotidal","Panne","Older Restoration",39.29,0,0.06,0.91,0,0.09,0,0,0,0,0,0,48.82,30.03,69.97,29.59,0.03,"Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,38.5,17,0.034,69.2,20.8,-0.016,0.079
"62","Plum Island - DPR - North - Runnel",2024,"Runnel",8,"Mesotidal","Panne","Older Restoration",25.24,0,0.18,0.06,0,0.24,0,0,0,0,0,0,42.29,25.94,74.06,48.12,0.18,"Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,8,32.8,0.106,38.6,41.4,0.056,0.121
"63","Plum Island - DPR - North - Runnel",2024,"Runnel",8,"Mesotidal","Panne","Older Restoration",25.24,0,0.18,0.06,0,0.24,0,0,0,0,0,0,42.29,25.94,74.06,48.12,0.18,"Panne",1.293,1.405,1.971,2.893,0.229,7.92,0.117,4.04,-0.449,-15.52,8,32.8,0.106,38.6,41.4,0.056,0.121
"64","Plum Island - DPR - South - No Action",2021,"No Action",4,"Mesotidal","Panne","Pre-Restoration",40.36,0,0,0,0,0,0,1.43,0,0,0,0,37.29,36,64,19.36,2.86,"",1.293,1.405,1.971,2.893,0.201,6.95,0.089,3.08,-0.477,-16.49,89.3,17,-0.015,100,22.6,-0.065,0.035
"65","Plum Island - DPR - South - No Action",2024,"No Action",7,"Mesotidal","Panne","Pre-Restoration",41.43,0,0,0,0,0,0,1.07,0,0,0,0,31.93,41,59,13.64,2.86,"",1.293,1.405,1.971,2.893,0.201,6.95,0.089,3.08,-0.477,-16.49,37.8,34.5,0.031,71.2,41.4,-0.019,0.104
"66","Plum Island - DPR - South - Reference",2021,"Reference",4,"Mesotidal","Panne","Reference",3.24,0,0.88,0,0,0.94,0.53,0,0,0,0,0.59,22.65,8.65,91.35,85.18,0,"",1.293,1.405,1.971,2.893,0.208,7.19,0.096,3.32,-0.47,-16.25,42,17,0.039,68.5,22.6,-0.011,0.082
"67","Plum Island - DPR - South - Runnel",2021,"Runnel",4,"Mesotidal","Panne","Early Restoration",38.24,0,5.88,1.18,0.03,0,0,0,0,0.29,1.74,0,48.18,22.24,77.76,21.65,6.41,"Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,4.5,17,0.111,21.3,20.8,0.061,0.077
"68","Plum Island - DPR - South - Runnel",2024,"Runnel",7,"Mesotidal","Panne","Older Restoration",30.88,0,0.71,3.88,0,0.12,0,0,0.24,0,0.47,0,48.24,29.06,70.94,32.12,1.06,"Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,24.2,31,0.092,38.2,39.7,0.042,0.129
"69","Plum Island - PLHA - North - Reference",2022,"Reference",0,"Mesotidal","Pool","Reference",3.7,0,0,0,0,6.7,0,0,0,0,0,1,24.2,9.6,90.4,79,0,"Pool",1.398,1.537,1.989,2.893,0.062,2.14,-0.077,-2.66,-0.529,-18.29,18.8,35.1,0.177,28.9,54.4,0.127,0.197
"70","Plum Island - PLHA - North - Reference",2024,"Reference",2,"Mesotidal","Pool","Reference",2.3,0.1,0,0,0,7.4,0.1,0,0,0,0,0.5,18.1,12.3,87.7,76.9,0.4,"Pool",1.398,1.537,1.989,2.893,0.062,2.14,-0.077,-2.66,-0.529,-18.29,20.7,41.4,0.139,31.5,46.6,0.089,0.134
"71","Plum Island - PLHA - North - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",39.64,0,0.55,0,0,0,0,0,0,0,0,0,21.82,53.55,46.45,3.27,3,"Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,42.3,28.1,0.041,60.3,43.9,-0.009,0.146
"72","Plum Island - PLHA - North - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",40.55,0,0.36,0.45,0,0,0,0,0.45,0.09,0,0,50.45,41.45,58.55,13.45,3.18,"Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,26.6,39.7,0.073,42,41.4,0.023,0.149
"73","Plum Island - PLHA - South - No Action",2022,"No Action",0,"Mesotidal","Pool","Pre-Restoration",39.22,0,0,0,0,0,0,0,0,0,0,0,23.67,32.67,67.33,28.06,0.06,"",1.398,1.537,1.989,2.893,-0.005,-0.17,-0.144,-4.98,-0.596,-20.6,7.6,56.1,0.071,51.9,59.6,0.021,0.115
"74","Plum Island - PLHA - South - No Action",2024,"No Action",2,"Mesotidal","Pool","Pre-Restoration",36.44,0,0,0,0,0,0,0.22,0,0,0,0,38.89,32.78,67.22,28.44,2.11,"",1.398,1.537,1.989,2.893,-0.005,-0.17,-0.144,-4.98,-0.596,-20.6,8,48.3,0.055,67.9,51.7,0.005,0.079
"75","Plum Island - PLHA - South - Reference",2022,"Reference",0,"Mesotidal","Pool","Reference",7.6,0,0,0,0.3,0,0,0,0,0,0,0.7,24.6,21.6,78.4,69.8,0,"Pool",1.398,1.537,1.989,2.893,0.053,1.83,-0.086,-2.97,-0.538,-18.6,11.9,40.4,0.17,33.2,56.1,0.12,0.246
"76","Plum Island - PLHA - South - Reference",2024,"Reference",2,"Mesotidal","Pool","Reference",6.2,0.2,0.1,0,0.1,0,0.1,0,0,0,0,0,27.78,15.9,84.1,76.1,1.3,"Pool",1.398,1.537,1.989,2.893,0.053,1.83,-0.086,-2.97,-0.538,-18.6,31.7,41.4,0.081,55.5,46.6,0.031,0.161
"77","Plum Island - PLHA - South - Runnel",2022,"Runnel",0,"Mesotidal","Pool","Early Restoration",23.36,0,0,0,0,0,0,0,0,0,0,0,12.14,58.57,41.43,17.93,0.14,"Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,6.1,24.6,0.159,9.6,40.4,0.109,0.095
"78","Plum Island - PLHA - South - Runnel",2024,"Runnel",2,"Mesotidal","Pool","Early Restoration",8.57,0,0,0,0,0,0,0,0,0,0,0,12.29,53,47,35.86,2.57,"Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,13.7,34.5,0.083,32.3,41.4,0.033,0.098
"79","Potters Pond - No Action",2021,"No Action",3,"Microtidal","Pool","Pre-Restoration",24,0,0,0,0,0,0,0,0,0,0,0,24.33,54.33,45.67,21.67,0,"",0.264,0.295,0.552,1.056,-0.142,-13.45,-0.173,-16.38,-0.43,-40.72,68.1,94.6,0.016,96.8,100,-0.034,0.06
