"","Salt_Marsh","Year","Year_0","Time_Since_Restoration","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"96","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","No Action","Mesotidal","Panne","T2",1.265,28,62.4,37.6,9.6,2,1.2,15.8
"97","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T1",1.165,27.8,16.2,83.8,55.4,0.8,3,14.4
"98","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T2",1.241,8.6,19.6,80.4,70.2,0.6,4.2,25.6
"99","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T1",1.355,37.7,55.3,44.7,1.7,5.6,1.6,13.1
"100","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T2",1.288,12.2,68,32,19.2,17.2,1.6,10
"101","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T1",0.676,29.2,54.2,45.8,16.6,0,1.4,17.8
"102","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T2",0.657,27.4,49.2,50.8,23,14,1.8,23.4
"103","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",0.676,30,39.4,60.6,22.4,0,1.8,22.6
"104","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",0.659,52.2,26.5,73.5,18.2,0,2.2,18.2
"105","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T1",1.413,28.4,61.1,38.9,9.7,0,1.4,18.3
"106","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T2",1.425,32,56.2,43.8,10,0,1.9,21.6
"107","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T1",1.364,3.9,6.1,93.9,86,0,3.3,21.6
"108","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T2",1.144,8.8,7,93,80.5,0,4,27.5
"109","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T1",1.383,40.2,37.8,62.2,20.1,6.7,2.2,28
"110","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T2",1.342,30.7,57.4,42.6,8.3,8.9,1.9,16.2
"111","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T1",1.355,51,33,67,15.9,1,1.6,26.6
"112","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T2",1.44,24.5,32.2,67.8,43.2,0.5,1.2,20
"113","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T1",1.467,5.9,13,87,73.1,0,3.8,24.3
"114","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T2",1.444,5.4,18.2,81.8,75.7,0,2.5,24.5
"115","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T1",1.514,38.8,50,50,10.7,0,1.8,18.1
"116","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Runnel","Mesotidal","Pool","T2",1.466,27.8,61,39,7.2,2.2,2,18
"117","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","No Action","Mesotidal","Pool","T1",NA,18.2,53.2,46.8,18,0,2.2,21.4
"118","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","No Action","Mesotidal","Pool","T2",NA,19.8,63.9,36.1,13.8,0.3,1.7,22.3
"119","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Reference","Mesotidal","Pool","T1",NA,9.3,26.3,73.7,59.4,0,3,24.9
"120","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Reference","Mesotidal","Pool","T2",NA,2,13.8,86.2,79.7,0,4.8,29.5
"121","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Runnel","Mesotidal","Pool","T1",NA,22.9,37,63,20.5,3.9,3.9,25.6
"122","Ogunquit Marsh",2024,2011,13,"Moody Marsh","Maine","Runnel","Mesotidal","Pool","T2",NA,15.4,51.1,48.9,27.1,13.3,2.7,25.2
"123","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","No Action","Microtidal","Pool","T1",NA,45,28.5,71.5,12.8,0,2.8,37.2
"124","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","No Action","Microtidal","Pool","T2",NA,26.2,35.5,64.5,36.2,7.5,3,30
"125","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Reference","Microtidal","Pool","T1",NA,7.2,31.2,68.8,59.2,0,4.5,23.8
"126","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Reference","Microtidal","Pool","T2",NA,16,31.8,68.2,50,0,3,22
"127","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T1",NA,16,58.2,41.8,22.2,2.5,2.5,19.2
"128","Salt Ponds Region",2024,2013,11,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T2",NA,24,45.2,54.8,20.3,10,2.3,26.8
"129","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","No Action","Microtidal","Panne","T1",NA,42.6,43.1,56.9,14.3,0.7,1.6,21.7
"130","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","No Action","Microtidal","Panne","T2",NA,15,49.3,50.7,35.7,0,2.3,29.2
"131","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Reference","Microtidal","Panne","T1",NA,6,7,93,87,0,1.8,42.8
"132","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Reference","Microtidal","Panne","T2",NA,22.6,7.8,92.2,69.6,0,2.4,50.4
"133","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T1",NA,32.8,32.5,67.5,32.5,0,3.2,29.5
"134","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T2",NA,8,15.6,84.4,76.2,0,2.8,33.8
"135","Narragansett Bay",2024,2014,10,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T3",NA,50.8,22.7,77.3,26.3,0,2.2,36.2
"136","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","No Action","Microtidal","Panne","T1",NA,13.6,55.2,44.8,31,0,1.6,19.6
"137","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","No Action","Microtidal","Panne","T2",NA,27.5,72.5,27.5,0,0,0.5,16.7
"138","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Reference","Microtidal","Panne","T1",NA,25.5,21.5,78.5,44.2,0,4,32.5
"139","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Reference","Microtidal","Panne","T2",NA,19.2,24.2,75.8,50.2,0,4,31
"140","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Runnel","Microtidal","Panne","T1",NA,65.8,28.5,71.5,5.8,0,1.8,26.2
"141","Narrow River Estuary",2024,2015,9,"Canonchet","Rhode Island","Runnel","Microtidal","Panne","T2",NA,12.5,17,83,57.8,0,3.5,27.5
"142","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","No Action","Mesotidal","Pool","T1",NA,53.7,42,58,1,13.3,2,26
"143","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","No Action","Mesotidal","Pool","T2",NA,0,23,77,70.8,0,2.7,19.2
"144","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Reference","Mesotidal","Pool","T1",NA,6.6,10.2,89.8,81.8,0,2.3,18.5
"145","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Reference","Mesotidal","Pool","T2",NA,0.4,8,92,90,0,2.9,21.8
"146","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T1",NA,38.4,29.4,70.6,30.8,2.2,2.6,53.7
"147","Parker River Estuary",2024,2015,9,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T2",NA,41.8,30.4,69.6,21.2,0.3,2.3,45.2
"148","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T1",NA,32.5,33.3,66.7,34.2,0,2,47.8
"149","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T2",NA,53.7,33.3,66.7,12.5,0,2,34.7
"150","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T1",NA,1.2,41.8,58.2,56.8,0,2.5,26
"151","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T2",NA,0,11.4,88.6,87.2,0,3.2,28
"152","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T1",NA,5.6,23.8,76.2,61.4,0,2.8,54
"153","Narragansett Bay",2024,2016,8,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T2",NA,5,27.7,72.3,67,0,2.3,25.3
"154","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","No Action","Microtidal","Pool","T1",NA,3.4,85.4,14.6,11,0,0.6,6.8
"155","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","No Action","Microtidal","Pool","T2",NA,46.2,46,54,3.4,0,2,22
"156","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Reference","Microtidal","Pool","T1",NA,9,12.3,87.7,75,0,3.3,30.3
"157","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Reference","Microtidal","Pool","T2",NA,18.8,17,83,64,0,2.5,26
"158","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T1",NA,16,39.8,60.2,44.2,0,1.4,23
"159","Narrow River Estuary",2024,2016,8,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T2",NA,43,46.5,53.5,10.5,0,1.2,18.8
"160","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","No Action","Microtidal","Pool","T1",NA,26.5,63.8,36.2,7.2,0,1.5,20.5
"161","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","No Action","Microtidal","Pool","T2",NA,17,54,46,29,0,0.8,16.8
"162","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Reference","Microtidal","Pool","T1",NA,12.8,39,61,47.6,0,2.4,21.2
"163","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Reference","Microtidal","Pool","T2",NA,39,45.2,54.8,15.8,0,1.2,26
"164","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Runnel","Microtidal","Pool","T1",NA,40,27,73,32,0,2.4,27.2
"165","Narrow River Estuary",2024,2016,8,"Narrow River","Rhode Island","Runnel","Microtidal","Pool","T2",NA,27,30,70,33.8,0,3.5,25
"166","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",NA,0,8.4,91.6,74.1,0,3.9,17.9
"167","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",NA,4.6,7,93,58.9,0,3.7,19.3
"168","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T3",NA,0.9,4.3,95.7,68.7,0,4.2,15.3
"169","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",NA,30.2,24.2,75.8,45,0,2.8,46
"170","Parker River Estuary",2024,2016,8,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",NA,19.6,27.9,72.1,51.6,0.4,2.6,38.1
