"","Site_Treatment","Year","Site","Sub_Site","Site_SubSite","Overall_Treatment","Year_0","Time_Since_Restoration","Tidal_Regime","Elevation","SPALT","abiotic_cover","live_cover","high_marsh_grams","other","salicornia","Canopy_Height_cm","Age_Classification","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"32","Plum Island - PLHA - North - Runnel",2024,"Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel",2022,2,"Mesotidal",NA,40.5,41.5,58.5,13.5,19.5,3.2,50.5,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,26.6,39.7,0.073,42,41.4,0.023,0.149
"33","Plum Island - PLHA - South - Runnel",2022,"Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel",2022,0,"Mesotidal",1.502,23.4,58.6,41.4,17.9,29.6,0.1,12.1,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,6.1,24.6,0.159,9.6,40.4,0.109,0.095
"34","Plum Island - PLHA - South - Runnel",2024,"Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel",2022,2,"Mesotidal",NA,8.6,53,47,35.9,44.3,2.6,12.3,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,13.7,34.5,0.083,32.3,41.4,0.033,0.098
"35","Potters Pond - Runnel",2021,"Potters Pond","","Potters Pond","Runnel",2018,3,"Microtidal",0.174,31.4,52.2,47.8,12.4,5.4,3.9,19.1,"Early Restoration","Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,42.3,85.7,0.063,67.4,94.6,0.013,0.079
"36","Potters Pond - Runnel",2024,"Potters Pond","","Potters Pond","Runnel",2018,6,"Microtidal",NA,33.6,46.4,53.6,14.6,10.6,5.4,15.6,"Older Restoration","Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,29.2,56.9,0.091,59.1,74.1,0.041,0.112
"37","Round Marsh - Runnel",2024,"Round Marsh","","Round Marsh","Runnel",2014,10,"Microtidal",NA,31.7,22.9,77.1,44.6,0.5,0.2,33.6,"Older Restoration","Panne",0.679,0.736,1.006,1.056,-0.031,-2.94,-0.088,-8.33,-0.358,-33.9,9.4,37.9,0.064,67.4,51.7,0.014,0.126
"38","Sapowet - North - Runnel",2022,"Sapowet","North","Sapowet - North","Runnel",2018,4,"Microtidal",0.626,13.7,51,49,31.9,2.2,1.2,18.4,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,2.3,10.3,0.187,11.8,13.8,0.137,0.14
"39","Sapowet - North - Runnel",2024,"Sapowet","North","Sapowet - North","Runnel",2018,6,"Microtidal",NA,43.2,32.2,67.8,21.6,1.8,1.2,36.9,"Older Restoration","Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,10.2,33.3,0.091,38.6,43.9,0.041,0.118
"40","Sapowet - South - Runnel",2022,"Sapowet","South","Sapowet - South","Runnel",2022,0,"Microtidal",0.668,39.9,33.7,66.3,20.6,1.9,4,20.7,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,5.1,13.8,0.148,13.6,25.9,0.098,0.097
"41","Sapowet - South - Runnel",2024,"Sapowet","South","Sapowet - South","Runnel",2022,2,"Microtidal",NA,24.1,55.9,44.1,18.3,39.7,0.9,30.7,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,15,43.9,0.072,44.7,50.9,0.022,0.11
"42","Weekapaug - Runnel",2021,"Weekapaug","","Weekapaug","Runnel",2017,4,"Microtidal",0.199,38.2,50.7,49.3,10.2,8.9,0.3,22.8,"Early Restoration","Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,76.2,96.4,0.003,97.1,100,-0.047,0.077
"43","Weekapaug - Runnel",2024,"Weekapaug","","Weekapaug","Runnel",2017,7,"Microtidal",NA,36.3,50.7,49.3,11.4,8.7,1.2,29.8,"Older Restoration","Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,21.8,67.2,0.11,29.1,82.8,0.06,0.171
"44","Winnapaug - Runnel",2021,"Winnapaug","","Winnapaug","Runnel",2013,8,"Microtidal",0.226,25.9,36.5,63.5,15.2,9.4,19,23.6,"Older Restoration","Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,34.1,92.7,0.069,42.2,100,0.019,0.056
"45","Winnapaug - Runnel",2024,"Winnapaug","","Winnapaug","Runnel",2013,11,"Microtidal",NA,20.8,50.4,49.6,21.1,17.9,6.8,23.8,"Older Restoration","Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,48.8,62.1,0.029,86.5,72.4,-0.021,0.145
