Salt_Marsh,Site_Treatment,Season,Year_0,Time_Since_Restoration,Site,Sub_Site,Reference,No_Action,State,Overall_Treatment,Tidal_Regime,Marsh_Condition,Elevation_mean,SPALT_mean,abiotic_cover_mean,live_cover_mean,high_marsh_grams_mean,algae_cover_mean,richness_mean,Canopyo_Height_cm_mean,Thatch_cm_mean
Great Marsh,No Action,2024,2022,2,Ipswich,Site 2,,,Massachusetts,No Action,Mesotidal,Panne,NA,29.8,51.8,48.2,17.6,3.2,1.9,18.8,NA
Great Marsh,Reference,2022,2022,0,Ipswich,,,,Massachusetts,Reference,Mesotidal,Panne,1.203,18.2,17.9,82.1,62.8,0.7,3.6,20,5.2
Great Marsh,Reference,2024,2022,2,Ipswich,,,,Massachusetts,Reference,Mesotidal,Panne,NA,6.9,12.3,87.7,79.9,0,3.2,20.7,NA
Great Marsh,Runnel,2022,2022,0,Ipswich,Site 2,Ipswich Reference,Ipswich No Action,Massachusetts,Runnel,Mesotidal,Panne,1.327,27.1,60.6,39.4,9,10.4,1.6,11.8,0.2
Great Marsh,Runnel,2024,2022,2,Ipswich,Site 2,Ipswich Reference,Ipswich No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,35.8,57.6,42.4,5.8,2.5,1.9,20.3,NA
Upper Narragansett Bay,No Action,2021,2016,5,Jacobs Point,,,,Rhode Island,No Action,Microtidal,Panne,0.788,20.6,48.1,51.9,31.3,0,2.1,37.4,NA
Upper Narragansett Bay,No Action,2024,2016,8,Jacobs Point,,,,Rhode Island,No Action,Microtidal,Panne,NA,43.1,33.3,66.7,23.3,0,2,41.2,2.6
Upper Narragansett Bay,Reference,2021,2016,5,Jacobs Point,,,,Rhode Island,Reference,Microtidal,Panne,0.82,1.4,15,85,83,0,2.4,22.6,NA
Upper Narragansett Bay,Reference,2024,2016,8,Jacobs Point,,,,Rhode Island,Reference,Microtidal,Panne,NA,0.6,24.9,75.1,73.7,0,2.9,27.1,3.2
Upper Narragansett Bay,Runnel,2021,2016,5,Jacobs Point,,Jacobs Point Reference,Jacobs Point No Action,Rhode Island,Runnel,Microtidal,Panne,0.873,3,5.9,94.1,83.6,0,3.4,25,NA
Upper Narragansett Bay,Runnel,2024,2016,8,Jacobs Point,,Jacobs Point Reference,Jacobs Point No Action,Rhode Island,Runnel,Microtidal,Panne,NA,5.4,25.2,74.8,63.5,0,2.6,43.2,4.9
Upper Parker River Estuary,No Action,2022,2022,0,Kents Island,,,,Massachusetts,No Action,Mesotidal,Panne,1.42,30.3,58.5,41.5,9.9,0,1.7,20.1,NA
Upper Parker River Estuary,No Action,2024,2022,2,Kents Island,,,,Massachusetts,No Action,Mesotidal,Panne,NA,49.5,40.3,59.7,9.5,0,1.6,29.9,NA
Upper Parker River Estuary,Reference,2022,2022,0,Kents Island,,,,Massachusetts,Reference,Mesotidal,Panne,1.284,5.6,6.5,93.5,84,0,3.5,23.7,NA
Upper Parker River Estuary,Reference,2024,2022,2,Kents Island,,,,Massachusetts,Reference,Mesotidal,Panne,NA,6.6,9.3,90.7,79.8,0,3.5,23.5,NA
Upper Parker River Estuary,Runnel,2022,2022,0,Kents Island,Runnel 4,Kents Island Reference,Kents Island No Action,Massachusetts,Runnel,Mesotidal,Panne,1.365,36.1,46.2,53.8,15,7.6,2,23,NA
Upper Parker River Estuary,Runnel,2024,2022,2,Kents Island,Runnel 4,Kents Island Reference,Kents Island No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,45.5,34,66,18.7,0.3,2.2,35.1,NA
Narrow River Estuary,No Action,2022,2016,6,Middlebridge,,,,Rhode Island,No Action,Microtidal,Pool,0.454,25.1,66,34,6.6,0,1.1,10.5,1.2
Narrow River Estuary,No Action,2024,2016,8,Middlebridge,,,,Rhode Island,No Action,Microtidal,Pool,NA,24.8,65.7,34.3,7.2,0,1.3,14.4,1.6
Narrow River Estuary,Reference,2022,2016,6,Middlebridge,,,,Rhode Island,Reference,Microtidal,Pool,0.427,18.1,23.9,76.1,56.6,0,2.6,26.7,5
Narrow River Estuary,Reference,2024,2016,8,Middlebridge,,,,Rhode Island,Reference,Microtidal,Pool,NA,14.6,15,85,68.7,0,2.9,27.9,4.1
Narrow River Estuary,Runnel,2022,2016,6,Middlebridge,,Middlebridge Reference,Middlebridge No Action,Rhode Island,Runnel,Microtidal,Pool,0.308,47.9,22.9,77.1,28.1,0,2.1,21.6,1.9
Narrow River Estuary,Runnel,2024,2016,8,Middlebridge,,Middlebridge Reference,Middlebridge No Action,Rhode Island,Runnel,Microtidal,Pool,NA,28,42.8,57.2,29.2,0,1.3,21.1,2.9
Ogunquit Marsh,No Action,2021,2011,10,Moody Marsh,,,,Maine,No Action,Mesotidal,Pool,1.534,28.2,50.6,49.4,17.9,0.4,1.6,24.9,NA
Ogunquit Marsh,No Action,2024,2011,13,Moody Marsh,,,,Maine,No Action,Mesotidal,Pool,NA,19.2,60.1,39.9,15.3,0.2,1.9,22,1.2
Ogunquit Marsh,Reference,2021,2011,10,Moody Marsh,,,,Maine,Reference,Mesotidal,Pool,1.432,2.2,9.6,90.4,82.8,0,4.5,23.2,NA
Ogunquit Marsh,Reference,2024,2011,13,Moody Marsh,,,,Maine,Reference,Mesotidal,Pool,NA,5.9,20.5,79.5,68.8,0,3.8,27,4.3
Ogunquit Marsh,Runnel,2021,2011,10,Moody Marsh,,Moody Marsh Reference,Moody Marsh No Action,Maine,Runnel,Mesotidal,Pool,1.241,29.9,35.2,64.8,21.8,3.2,2.7,31.7,NA
Ogunquit Marsh,Runnel,2024,2011,13,Moody Marsh,,Moody Marsh Reference,Moody Marsh No Action,Maine,Runnel,Mesotidal,Pool,NA,18.9,44.5,55.5,24,8.9,3.2,25.4,1.8
Narrow River Estuary,No Action,2022,2016,6,Narrow River,,,,Rhode Island,No Action,Microtidal,Pool,0.508,26.7,45.4,54.6,26.7,0,1.2,14.9,4.2
Narrow River Estuary,No Action,2024,2016,8,Narrow River,,,,Rhode Island,No Action,Microtidal,Pool,NA,21.2,58.3,41.7,19.3,0,1.1,18.4,2.2
Narrow River Estuary,Reference,2022,2016,6,Narrow River,,,,Rhode Island,Reference,Microtidal,Pool,0.442,42.6,13.1,86.9,44.2,0,1.4,22,4
Narrow River Estuary,Reference,2024,2016,8,Narrow River,,,,Rhode Island,Reference,Microtidal,Pool,NA,24.4,41.8,58.2,33.4,0,1.9,23.3,3.8
Narrow River Estuary,Runnel,2022,2016,6,Narrow River,,Narrow River Reference,Narrow River No Action,Rhode Island,Runnel,Microtidal,Pool,0.467,38.4,28.9,71.1,29,0,2.3,20,3.4
Narrow River Estuary,Runnel,2024,2016,8,Narrow River,,Narrow River Reference,Narrow River No Action,Rhode Island,Runnel,Microtidal,Pool,NA,34.2,28.3,71.7,32.8,0,2.9,26.2,3.1
Upper Parker River Estuary,No Action,2022,2020,2,Old Town Hill,,,,Massachusetts,No Action,Mesotidal,Panne,1.349,31.1,52.9,47.1,9.9,2.4,2,26.7,6.4
Upper Parker River Estuary,No Action,2024,2020,4,Old Town Hill,,,,Massachusetts,No Action,Mesotidal,Panne,NA,31,46.4,53.6,8.1,0,1.8,50.1,6.5
Upper Parker River Estuary,NNC Reference,2022,2020,2,Old Town Hill,North,,,Massachusetts,Reference,Mesotidal,Panne,1.485,5,14,86,79.8,0,3.8,26.5,6.6
Upper Parker River Estuary,SC3 Reference,2022,2020,2,Old Town Hill,South,,,Massachusetts,Reference,Mesotidal,Panne,1.325,23,11.5,88.5,61.4,0,4.2,29.4,7
Upper Parker River Estuary,NNC Reference,2024,2020,4,Old Town Hill,North,,,Massachusetts,Reference,Mesotidal,Panne,NA,2.6,10.1,89.9,84.3,0,3.8,32,5.9
Upper Parker River Estuary,SC3 Reference,2024,2020,4,Old Town Hill,South,,,Massachusetts,Reference,Mesotidal,Panne,NA,14.5,25.1,74.9,56.9,0,3.8,27.5,5.9
Upper Parker River Estuary,SC1 Runnel,2022,2020,2,Old Town Hill,Runnel 1,Old Town Hill NNC Reference,Old Town Hill No Action,Massachusetts,Runnel,Mesotidal,Panne,1.366,48.5,31.5,68.5,19.8,1.3,2,28.7,7.6
Upper Parker River Estuary,SC2 Runnel,2022,2020,2,Old Town Hill,Runnel 2,Old Town Hill SC3 Reference,Old Town Hill No Action,Massachusetts,Runnel,Mesotidal,Panne,1.382,36.8,26.5,73.5,31.3,1.4,2.8,27.8,5.8
Upper Parker River Estuary,SC1 Runnel,2024,2020,4,Old Town Hill,Runnel 1,Old Town Hill NNC Reference,Old Town Hill No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,44.7,26.9,73.1,25.9,0,2.5,34.3,8.4
Upper Parker River Estuary,SC2 Runnel,2024,2020,4,Old Town Hill,Runnel 2,Old Town Hill SC3 Reference,Old Town Hill No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,28.6,24.1,75.9,42.3,0,3,35.4,5
Parker River Estuary,No Action,2021,2015,6,Pine Island,,,,Massachusetts,No Action,Mesotidal,Pool,1.53,29.4,39,61,27.5,14.3,1.8,27,NA
Parker River Estuary,No Action,2024,2015,9,Pine Island,,,,Massachusetts,No Action,Mesotidal,Pool,NA,26.8,32.5,67.5,35.9,6.7,2.3,22.6,4
Parker River Estuary,North Reference,2021,2015,6,Pine Island,North,,,Massachusetts,Reference,Mesotidal,Pool,1.523,0.2,7.5,92.5,91.7,0,2.5,18.2,NA
Parker River Estuary,South Reference,2021,2015,6,Pine Island,South,,,Massachusetts,Reference,Mesotidal,Pool,1.493,5.3,13.8,86.2,80.3,0,2.2,16.6,NA
Parker River Estuary,North Reference,2024,2015,9,Pine Island,North,,,Massachusetts,Reference,Mesotidal,Pool,NA,0,7.5,92.5,91.7,0,2.5,20.2,6.9
Parker River Estuary,South Reference,2024,2015,9,Pine Island,South,,,Massachusetts,Reference,Mesotidal,Pool,NA,7.1,10.8,89.2,79.8,0,2.8,20.5,5.4
Parker River Estuary,North Runnel,2021,2015,6,Pine Island,North,Pine Island North Reference,Pine Island No Action,Massachusetts,Runnel,Mesotidal,Pool,1.465,11.9,24.9,75.1,56.1,9.4,2.8,21.2,NA
Parker River Estuary,South Runnel,2021,2015,6,Pine Island,South,Pine Island South Reference,Pine Island No Action,Massachusetts,Runnel,Mesotidal,Pool,1.224,41,55.6,44.4,2.3,9,1.3,49.4,NA
Parker River Estuary,North Runnel,2024,2015,9,Pine Island,North,Pine Island North Reference,Pine Island No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,18.9,25.4,74.6,50,2.5,3,30.2,6.4
Parker River Estuary,South Runnel,2024,2015,9,Pine Island,South,Pine Island South Reference,Pine Island No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,57.1,33.6,66.4,6.8,0.3,2,64.8,0
Parker River Estuary,No Action,2021,2017,4,Plum Island - DPR,,,,Massachusetts,No Action,Mesotidal,Panne,1.494,40.4,36,64,19.4,3,2.2,37.3,NA
Parker River Estuary,No Action,2024,2017,7,Plum Island - DPR,,,,Massachusetts,No Action,Mesotidal,Panne,NA,41.4,41,59,13.6,7.5,2.3,31.9,1.8
Parker River Estuary,North Reference,2021,2016,5,Plum Island - DPR,North,,,Massachusetts,Reference,Mesotidal,Panne,1.495,2.5,6.4,93.6,72.8,0,4.1,20.2,3.8
Parker River Estuary,South Reference,2021,2017,4,Plum Island - DPR,South,,,Massachusetts,Reference,Mesotidal,Panne,1.501,3.2,8.6,91.4,85.2,0,2.5,22.6,NA
Parker River Estuary,North Reference,2024,2016,8,Plum Island - DPR,North,,,Massachusetts,Reference,Mesotidal,Panne,NA,1.6,6.4,93.6,67.7,0,4,17.2,4.9
Parker River Estuary,South Reference,2024,2017,7,Plum Island - DPR,South,,,Massachusetts,Reference,Mesotidal,Panne,NA,6.1,17.2,82.8,74.3,0,2.7,22.6,4.2
Parker River Estuary,North Runnel,2021,2016,5,Plum Island - DPR,North,Plum Island - DPR North Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,1.507,39.3,30,70,29.6,0,2.5,48.8,3.9
Parker River Estuary,South Runnel,2021,2017,4,Plum Island - DPR,South,Plum Island - DPR South Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,1.528,38.2,22.2,77.8,21.6,0.9,3.1,48.2,NA
Parker River Estuary,North Runnel,2021,2019,2,Plum Island - DPR,North,Plum Island - DPR North Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,1.522,63.5,26.5,73.5,9.1,0,1.8,42.6,NA
Parker River Estuary,North Runnel,2024,2016,8,Plum Island - DPR,North,Plum Island - DPR North Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,25.2,25.9,74.1,48.1,0.2,2.7,42.3,4.7
Parker River Estuary,South Runnel,2024,2017,7,Plum Island - DPR,South,Plum Island - DPR South Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,30.9,29.1,70.9,32.1,0,4.9,48.2,4.9
Parker River Estuary,North Runnel,2024,2019,5,Plum Island - DPR,North,Plum Island - DPR North Reference,Plum Island - DPR No Action,Massachusetts,Runnel,Mesotidal,Panne,NA,42.3,36.5,63.5,19.8,0,2.4,39.8,2.6
Parker River Estuary,No Action,2022,2022,0,Plum Island - PLHA,,,,Massachusetts,No Action,Mesotidal,Pool,1.393,39.2,32.7,67.3,28.1,0.8,1.4,23.7,NA
Parker River Estuary,No Action,2024,2022,2,Plum Island - PLHA,,,,Massachusetts,No Action,Mesotidal,Pool,NA,36.4,32.8,67.2,28.4,1.4,2.2,38.9,2.1
Parker River Estuary,North Reference,2022,2022,0,Plum Island - PLHA,North,,,Massachusetts,Reference,Mesotidal,Pool,1.46,3.7,9.6,90.4,79,0,3.2,24.2,NA
Parker River Estuary,South Reference,2022,2022,0,Plum Island - PLHA,South,,,Massachusetts,Reference,Mesotidal,Pool,1.451,7.6,21.6,78.4,69.8,0,3.1,24.6,NA
Parker River Estuary,North Reference,2024,2022,2,Plum Island - PLHA,North,,,Massachusetts,Reference,Mesotidal,Pool,NA,2.3,12.3,87.7,76.9,0,3.5,18.1,5.2
Parker River Estuary,South Reference,2024,2022,2,Plum Island - PLHA,South,,,Massachusetts,Reference,Mesotidal,Pool,NA,6.2,15.9,84.1,76.1,0,4,27.8,5.7
Parker River Estuary,North Runnel,2022,2022,0,Plum Island - PLHA,North,Plum Island - PLHA North Reference,Plum Island - PLHA No Action,Massachusetts,Runnel,Mesotidal,Pool,1.482,39.6,53.5,46.5,3.3,1.8,2.2,21.8,NA
Parker River Estuary,South Runnel,2022,2022,0,Plum Island - PLHA,South,Plum Island - PLHA South Reference,Plum Island - PLHA No Action,Massachusetts,Runnel,Mesotidal,Pool,1.502,23.4,58.6,41.4,17.9,0,1.4,12.1,NA
Parker River Estuary,North Runnel,2024,2022,2,Plum Island - PLHA,North,Plum Island - PLHA North Reference,Plum Island - PLHA No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,40.5,41.5,58.5,13.5,1.8,2.5,50.5,2.9
Parker River Estuary,South Runnel,2024,2022,2,Plum Island - PLHA,South,Plum Island - PLHA South Reference,Plum Island - PLHA No Action,Massachusetts,Runnel,Mesotidal,Pool,NA,8.6,53,47,35.9,7.1,1.6,12.3,2
Salt Ponds Region,No Action,2021,2018,3,Potters Pond,,,,Rhode Island,No Action,Microtidal,Pool,0.122,24,54.3,45.7,21.7,26,1.7,24.3,NA
Salt Ponds Region,No Action,2024,2018,6,Potters Pond,,,,Rhode Island,No Action,Microtidal,Pool,NA,21.7,61.7,38.3,15,1.7,1.7,18.7,3.7
Salt Ponds Region,Reference,2021,2018,3,Potters Pond,,,,Rhode Island,Reference,Microtidal,Pool,0.246,24,17.7,82.3,57.8,0,2.3,26.9,NA
Salt Ponds Region,Reference,2024,2018,6,Potters Pond,,,,Rhode Island,Reference,Microtidal,Pool,NA,30.3,22,78,43.4,0,2.8,33.2,4.8
Salt Ponds Region,Runnel,2021,2018,3,Potters Pond,,Potters Pond Reference,Potters Pond No Action,Rhode Island,Runnel,Microtidal,Pool,0.174,31.4,52.2,47.8,12.4,4.6,1.4,19.1,NA
Salt Ponds Region,Runnel,2024,2018,6,Potters Pond,,Potters Pond Reference,Potters Pond No Action,Rhode Island,Runnel,Microtidal,Pool,NA,33.6,46.4,53.6,14.6,1.4,1.9,15.6,1.1
Central Narragansett Bay,No Action,2021,2014,7,Round Marsh,,,,Rhode Island,No Action,Microtidal,Panne,0.633,43.1,36.5,63.9,14.7,1.5,2.8,26.8,NA
Central Narragansett Bay,No Action,2024,2014,10,Round Marsh,,,,Rhode Island,No Action,Microtidal,Panne,NA,29.8,46,54,24.2,0.4,1.9,25.2,1.8
Central Narragansett Bay,Reference,2021,2014,7,Round Marsh,,,,Rhode Island,Reference,Microtidal,Panne,0.706,6.5,8.9,91.1,84.3,0,2.7,20.1,NA
Central Narragansett Bay,Reference,2024,2014,10,Round Marsh,,,,Rhode Island,Reference,Microtidal,Panne,NA,14.3,7.4,92.6,78.3,0,2.1,46.6,7.8
Central Narragansett Bay,Runnel,2021,2014,7,Round Marsh,,Round Marsh Reference,Round Marsh No Action,Rhode Island,Runnel,Microtidal,Panne,0.648,18.3,30.5,70.1,48.5,0.5,2.9,24.9,NA
Central Narragansett Bay,Runnel,2024,2014,10,Round Marsh,,Round Marsh Reference,Round Marsh No Action,Rhode Island,Runnel,Microtidal,Panne,NA,31.7,22.9,77.1,44.6,0,2.7,33.6,3.3
Sapowet Marsh,No Action,2022,2022,0,Sapowet,,,,Rhode Island,No Action,Microtidal,Pool,0.666,28.3,51.7,48.3,19.8,7,1.6,20.6,4.9
Sapowet Marsh,No Action,2024,2022,2,Sapowet,,,,Rhode Island,No Action,Microtidal,Pool,NA,27.8,51.3,48.7,20.6,1.5,1.8,27.1,1.9
Sapowet Marsh,Reference,2022,2018,4,Sapowet,,,,Rhode Island,Reference,Microtidal,Pool,0.615,3.8,16.5,83.5,77.9,0,2.4,24.8,3
Sapowet Marsh,Reference,2024,2018,6,Sapowet,,,,Rhode Island,Reference,Microtidal,Pool,NA,5.2,19.4,80.6,74.4,0,2.6,31.6,3.8
Sapowet Marsh,Runnel,2022,2018,4,Sapowet,North,Sapowet Reference,Sapowet No Action,Rhode Island,Runnel,Microtidal,Pool,0.626,13.7,51,49,31.9,0,1.9,18.4,2.8
Sapowet Marsh,Runnel,2022,2022,0,Sapowet,South,Sapowet Reference,Sapowet No Action,Rhode Island,Runnel,Microtidal,Pool,0.668,39.9,33.7,66.3,20.6,0,2,20.7,2
Sapowet Marsh,Runnel,2024,2018,6,Sapowet,North,Sapowet Reference,Sapowet No Action,Rhode Island,Runnel,Microtidal,Pool,NA,43.2,32.2,67.8,21.6,0,2.7,36.9,2.3
Sapowet Marsh,Runnel,2024,2022,2,Sapowet,South,Sapowet Reference,Sapowet No Action,Rhode Island,Runnel,Microtidal,Pool,NA,24.1,55.9,44.1,18.3,1.1,2,30.7,1.9
Winnapaug Pond,No Action,2021,2017,4,Weekapaug,,,,Rhode Island,No Action,Microtidal,Pool,0.175,11.9,63.1,36.2,21.9,4.4,2.1,25.5,NA
Winnapaug Pond,No Action,2024,2017,7,Weekapaug,,,,Rhode Island,No Action,Microtidal,Pool,NA,16.8,59.8,40.2,18.9,17.2,2.1,27,1.8
Winnapaug Pond,Reference,2021,2017,4,Weekapaug,,,,Rhode Island,Reference,Microtidal,Pool,0.245,8.8,28.1,71.9,58,0.6,3.6,27.8,NA
Winnapaug Pond,Reference,2024,2017,7,Weekapaug,,,,Rhode Island,Reference,Microtidal,Pool,NA,10.5,26.5,73.5,57.2,1.6,4.4,26,5.8
Winnapaug Pond,Runnel,2021,2017,4,Weekapaug,,Weekapaug Reference,Weekapaug No Action,Rhode Island,Runnel,Microtidal,Pool,0.199,38.2,50.7,49.3,10.2,14.2,1.8,22.8,NA
Winnapaug Pond,Runnel,2024,2017,7,Weekapaug,,Weekapaug Reference,Weekapaug No Action,Rhode Island,Runnel,Microtidal,Pool,NA,36.3,50.7,49.3,11.4,20.7,1.8,29.8,0
Winnapaug Pond,No Action,2021,2013,8,Winnapaug,,,,Rhode Island,No Action,Microtidal,Pool,0.158,17,52,48,18,0,2.2,21.6,NA
Winnapaug Pond,No Action,2024,2013,11,Winnapaug,,,,Rhode Island,No Action,Microtidal,Pool,NA,28.5,45.6,54.4,19.6,3,2.3,26.9,0.7
Winnapaug Pond,Reference,2021,2013,8,Winnapaug,,,,Rhode Island,Reference,Microtidal,Pool,0.252,9.4,20.6,79.4,67.1,0,3.8,23.6,NA
Winnapaug Pond,Reference,2024,2013,11,Winnapaug,,,,Rhode Island,Reference,Microtidal,Pool,NA,12.1,31.6,68.4,54.1,0,3.7,22.9,3.2
Winnapaug Pond,Runnel,2021,2013,8,Winnapaug,,Winnapaug Reference,Winnapaug No Action,Rhode Island,Runnel,Microtidal,Pool,0.226,25.9,36.5,63.5,15.2,0,3.4,23.6,NA
Winnapaug Pond,Runnel,2024,2013,11,Winnapaug,,Winnapaug Reference,Winnapaug No Action,Rhode Island,Runnel,Microtidal,Pool,NA,20.8,50.4,49.6,21.1,7,2.4,23.8,1.4
