Date,Year,Year_0,Time_Since_Restoration,State,Salt_Marsh,Site,Sub_Site,Overall_Treatment,Tidal_Regime,Marsh_Condition,Marsh_Condition_plot,Transect,Distance_m,Habitat,Impacted,Elevation,Transect_ID,Plot_ID,Local_Tideshed_ID,Study_Tideshed_ID,Plot_Notes,TOTAL,MUD,DEAD,WATER,WRACK,DITCH_FILL,ALGAL_MAT,GREEN_ALG,VAUCH,ASCO,SPALT,SPPAT,DISPI,JUGER,SADEP,AGMAR,AMCAN,ARANS,ATPAT,BAHAL,BOMAR,BOROB,CHRUB,ELROS,FERUB,IVFRU,JUBAL,LYNAS,LYMAR,MYPEN,PAVIR,PHAUS,PLMAR,PLODO,PORAM,PUMAR,RUMAR,SABIG,SOSEM,SPCAE,SPPEC,SPMAR,SULIN,SUMAR,SYSUB,SYTEN,TECAN,TRMAR,AGSTO,AMCANA,ASTER,CASEP,CAHOR,CUSCUTA,DICLA,ELPAL,ELREP,ELVIR,EUGRA,HIODO,JUVIR,LACTUCA,LYSAL,MEAQU,PACLA,PAQUI,SACAN,SCAME,SCPUN,SOLIDAGO,SYNOV,TORAD,TYANG,TYLAT,UNK,Canopy_Height_cm,Thatch_cm
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,8,,Yes,1.024,Broad Cove Runnel 2,Broad Cove__2021_Runnel_8,Broad Cove_7,8,,100,,10,,,,,,,,,50,,,,,,,,,,0,,,,40,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,55,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,16,,Yes,1.039,Broad Cove Runnel 2,Broad Cove__2021_Runnel_16,Broad Cove_7,8,,100,,10,,,,,,,,,75,15,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,43,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,19,,No,1.029,Broad Cove Runnel 2,Broad Cove__2021_Runnel_19,Broad Cove_7,8,,100,,20,,,,,,,,,75,5,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,42,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,21,,No,1.049,Broad Cove Runnel 2,Broad Cove__2021_Runnel_21,Broad Cove_7,8,,100,,15,,,,,,,,,60,25,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,44,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,24,,Yes,1.079,Broad Cove Runnel 2,Broad Cove__2021_Runnel_24,Broad Cove_7,8,,100,,20,,,,,,,,,60,15,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,5,,,,,,,38,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,32,,No,1.069,Broad Cove Runnel 2,Broad Cove__2021_Runnel_32,Broad Cove_7,8,,100,,15,,,,,,,,,34,10,,,,,,,,,0,,,,,35,,0,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,5,,,,,,,42,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,35.5,,No,1.249,Broad Cove Runnel 2,Broad Cove__2021_Runnel_35.5,Broad Cove_7,8,west stake,100,,,,,,,,,,,,22,,,,,,,,,0,,,,,30,,0,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,0,,,,,,35,,,,2,,,,,,,49,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,1,,Yes,0.974,Broad Cove Reference 1,Broad Cove__2021_Reference_1,Broad Cove_6,4,near north stake,100,5,20,,,,,,,,,,20,52,,,,,,,,0,,,,,,,0,,,,,,,,,,3,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,26,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,9,,Yes,0.969,Broad Cove Reference 1,Broad Cove__2021_Reference_9,Broad Cove_6,4,,100,,5,,,,,,,,,,25,70,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,33,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,17,,Yes,0.969,Broad Cove Reference 1,Broad Cove__2021_Reference_17,Broad Cove_6,4,,100,10,10,,,,,,,,,,10,65,3,,,,2,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,31,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,25,,Yes,0.989,Broad Cove Reference 1,Broad Cove__2021_Reference_25,Broad Cove_6,4,,100,5,5,,,,,,,,,,5,49,,,,,,,,0,,,,,,1,0,,,,,,,,,,35,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,30,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,33,,No,1.099,Broad Cove Reference 1,Broad Cove__2021_Reference_33,Broad Cove_6,4,,100,,10,,,,,,,,,,5,25,,,,,,,,0,,,,35,,,0,,10,,,,,,,,15,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,47,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,41,,No,1.264,Broad Cove Reference 1,Broad Cove__2021_Reference_41,Broad Cove_6,4,south stake,100,,2,,,,,,,,,,,3,,,,,,,,0,,,,,,,0,15,5,,,,,,,,40,,2,,,,,,5,,,,,3,,,,,,,0,,,,,,,,,,0,,,25,,,,87,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,0,,Yes,0.983,Broad Cove Reference 2,Broad Cove__2021_Reference_0,Broad Cove_4,2,SW stake,100,30,10,,,,,,,,5,15,5,25,,,,,,,,0,,,,,,,0,,,,,,,,,,10,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,26,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,8,,Yes,1.018,Broad Cove Reference 2,Broad Cove__2021_Reference_8,Broad Cove_4,2,,100,15,10,,,,,,,,,,,47,,,,,,,,0,,,,3,,,0,,,,,,,,,,25,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,27,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,16,,Yes,1.023,Broad Cove Reference 2,Broad Cove__2021_Reference_16,Broad Cove_4,2,,100,,50,,3,,,,,,,,,42,,,,,,,,0,,,,3,,,0,,,,,,,,,,2,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,15,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,24,,Yes,1.038,Broad Cove Reference 2,Broad Cove__2021_Reference_24,Broad Cove_4,2,,100,10,5,,,,,,,,,,25,54,,,,,1,,,0,,,,2,,,0,,,,,,,,,,3,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,30,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,32,,Yes,1.098,Broad Cove Reference 2,Broad Cove__2021_Reference_32,Broad Cove_4,2,,100,,10,,,,,,,,,,4,50,,,,,,,,0,,,,,,,0,,1,5,,,,,,,30,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,44,
4-Aug-21,2021,2017,4,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,36,,No,1.133,Broad Cove Reference 2,Broad Cove__2021_Reference_36,Broad Cove_4,2,NE stake,100,10,,,,,,,,,,,5,60,,,,,,,,0,,,,3,,,0,,,10,,,,,,,12,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,41,
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,-0.5,HM,No,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_-0.5,Broad Cove_3,6,Ditch edge,100,,,,,,,,,,,,25,40,,,,,,,,0,,,,20,,,0,,,,,,,,,,15,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,140,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,0,HM,Yes,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_0,Broad Cove_3,6,,100,,8,,,,,,,,,,5,50,,,,,,,,0,,,,32,,,0,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,130,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,10,HM,Yes,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_10,Broad Cove_3,6,,100,,,,,,,,,,,,20,5,,,,,,,,0,,,,65,,,0,,,,,,,,,,10,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,133,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,11.8,HM,No,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_11.8,Broad Cove_3,6,,100,,7,,,,,,,,,,,50,,,,,,,,0,,,,35,,,0,,,,,,,,,,8,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,112,2
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,20,HM,Yes,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_20,Broad Cove_3,6,,100,,10,,,,,,,,,,20,50,,,,,,,,0,,,,4,,,0,,,,,,,,,,,16,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,24,4
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,30,HM,Yes,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_30,Broad Cove_3,6,,100,,9,,,,,,,,,15,15,10,,,,,,,,0,,,5,1,,,0,,,,,,,,,,,45,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,33,7
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,40,HM,Yes,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_40,Broad Cove_3,6,,100,,12,,,,,,,,,50,15,,,,,,,,,0,,,13,,,,0,,,,,,,,,,,10,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,25,5
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T1,50,UE,No,,Broad Cove Runnel 1,Broad Cove__2024_Runnel_50,Broad Cove_3,6,,100,,,,,,,,,,,,33,,,,,,,,,0,,,,,,,0,,,12,,,,,,,,,8,,,,,,,,,,,7,,,,,,,0,,,20,20,,,,,,0,,,,,,,114,2
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,-1,LM,No,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_-1,Broad Cove_7,8,,100,17,15,,,,,,,,3,7,3,,,,,,,,,30,,,,25,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,143,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,0,HM,Yes,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_0,Broad Cove_7,8,,100,,5,,,,,,,,,83,7,,,,,,,,,0,,,,5,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,37,5
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,8,HM,Yes,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_8,Broad Cove_7,8,,100,,12,,,,,,,,,76,,,,,,,,,,0,,,,12,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,47,8
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,16,HM,Yes,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_16,Broad Cove_7,8,,100,,12,,,,,,,,,79,7,,,,,,,,,0,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,23,4
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,19,HM,No,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_19,Broad Cove_7,8,,100,,10,,,,,,,,,83,7,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,21,5
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,21,HM,No,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_21,Broad Cove_7,8,,100,10,3,10,,,,,,,,61,20,,,,,,,,,0,,,,,,,0,,,,,,,,,,6,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,22,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,24,HM,Yes,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_24,Broad Cove_7,8,,100,,25,,,,,,,,,30,10,,,,,,,,,0,,,,3,,,0,,,,,,,,,,7,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,25,,,,,,,68,10
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,32,HM,No,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_32,Broad Cove_7,8,HM/UE border,100,,25,,,,,,,,,30,8,,,,,,,,,0,,,,,15,,0,,7,,,,,,,,,,,,,,,,,,,,,0,,,,15,,,0,,,,,,,,,,0,,,,,,,64,8
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Runnel,Microtidal,Panne,,T2,35.5,UE,No,,Broad Cove Runnel 2,Broad Cove__2024_Runnel_35.5,Broad Cove_7,8,,100,,4,,,,,,,,,4,5,,,,,,,,,0,,,,1,20,,0,1,,,,,,,,,,,,,,,,,,,,,,3,,,30,2,,,0,,,30,,,,,,,0,,,,,,,76,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,1,HM,Yes,,Broad Cove Reference 1,Broad Cove__2024_Reference_1,Broad Cove_6,4,,100,,5,,,,,,,,,,20,73,,,,,1,,,0,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,27,5
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,9,HM,Yes,,Broad Cove Reference 1,Broad Cove__2024_Reference_9,Broad Cove_6,4,,100,,,,,,,,,,,,25,72,,,,,3,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,24,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,17,HM,Yes,,Broad Cove Reference 1,Broad Cove__2024_Reference_17,Broad Cove_6,4,,100,,5,,,,,,,,,10,12,69,,,,,4,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,20,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,25,HM,Yes,,Broad Cove Reference 1,Broad Cove__2024_Reference_25,Broad Cove_6,4,,100,,4,,,,,,,,,,5,55,,,,,1,,,0,,,,,,,0,,,,,,,,,,35,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,36,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,33,UE,No,,Broad Cove Reference 1,Broad Cove__2024_Reference_33,Broad Cove_6,4,,100,,4,,,,,,,,,,6,20,,,,,,,,0,,,2,30,,,0,,8,,,,,,,,30,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,107,2
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T1,41,UE,No,,Broad Cove Reference 1,Broad Cove__2024_Reference_41,Broad Cove_6,4,,100,,2,,,,,,,,,,,7,,,,,,,,0,,,,,,,0,65,,,,,,,,,20,,2,,,,,,2,,,,,2,,,,,,,0,,,,,,,,,,0,,,,,,,135,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,-1,LM,No,,Broad Cove Reference 2,Broad Cove__2024_Reference_-1,Broad Cove_4,2,,100,23,,,,,,,,,75,,2,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,43,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,0,HM,Yes,,Broad Cove Reference 2,Broad Cove__2024_Reference_0,Broad Cove_4,2,,100,,10,,,,,,,,10,,9,55,,,,,,,,0,,,,,,,0,,,,,,,,,,16,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,41,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,8,HM,Yes,,Broad Cove Reference 2,Broad Cove__2024_Reference_8,Broad Cove_4,2,,100,,,,2,,,,,,,,,70,,,,,,,,0,,,,3,,,0,,,,,,,,,,25,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,18,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,16,HM,Yes,,Broad Cove Reference 2,Broad Cove__2024_Reference_16,Broad Cove_4,2,,100,,4,,,,,,,,,,1,85,,,,,,,,0,,,,5,,,0,,,,,,,,,,5,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,14,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,24,HM,Yes,,Broad Cove Reference 2,Broad Cove__2024_Reference_24,Broad Cove_4,2,,100,,2,,,,,,,,,,20,76,,,,,,,,0,,,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,55,6
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,32,HM,Yes,,Broad Cove Reference 2,Broad Cove__2024_Reference_32,Broad Cove_4,2,,100,,11,,,,,,,,,,,45,,,,,,,,0,,,,,,,0,,5,4,,,,,,,35,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,112,0
7/22/2024,2024,2017,7,Rhode Island,Taunton River,Broad Cove,,Reference,Microtidal,Panne,,T2,36,UE,No,,Broad Cove Reference 2,Broad Cove__2024_Reference_36,Broad Cove_4,2,,100,,3,,,,,,,,,,15,28,,,,,,,,0,,,,4,,,0,,,25,,,,,,,25,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,110,0
5-Aug-21,2021,2013,8,Rhode Island,Salt Ponds Region,Winnapaug,,Runnel,Microtidal,Pool,,T1,-0.5,,No,0.309,Winnapaug Runnel 1,Winnapaug__2021_Runnel_-0.5,Winnapaug_13,176,,100,5,15,,,,,,,,10,19,35,,10,,,,,,,0,,,,5,,,0,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,27,
5-Aug-21,2021,2013,8,Rhode Island,Salt Ponds Region,Winnapaug,,Runnel,Microtidal,Pool,,T1,0,,Yes,0.329,Winnapaug Runnel 1,Winnapaug__2021_Runnel_0,Winnapaug_13,176,west stake,100,5,15,,,,,,,,10,13,25,,5,,,,,,,0,,,,25,,,0,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,28,
5-Aug-21,2021,2013,8,Rhode Island,Salt Ponds Region,Winnapaug,,Runnel,Microtidal,Pool,,T1,8,,Yes,0.269,Winnapaug Runnel 1,Winnapaug__2021_Runnel_8,Winnapaug_13,176,,100,30,5,,,,,,,,30,,10,,25,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,29,
5-Aug-21,2021,2013,8,Rhode Island,Salt Ponds Region,Winnapaug,,Runnel,Microtidal,Pool,,T1,16,,Yes,0.299,Winnapaug Runnel 1,Winnapaug__2021_Runnel_16,Winnapaug_13,176,,100,30,20,60,,,,,,,35,,,,15,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,22,
5-Aug-21,2021,2013,8,Rhode Island,Salt Ponds Region,Winnapaug,,Runnel,Microtidal,Pool,,T1,24,,Yes,0.294,Winnapaug Runnel 1,Winnapaug__2021_Runnel_24,Winnapaug_13,176,,100,,15,,,,,,,,80,,,,5,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,,32,
