Site,Subsite,Site_Subsite,State,Overall_Treatment,Site_Treatment,Year,Year_0,Time_Since_Restoration,Restoration_Relative_To_Metonic_Low_2015,Elevation_mean,Tidal_Regime,Runnel_Marsh_Precondition,MHT_NAVD88m,MHHT_NAVD88m,Spring_Tide_NAVD88m,Tidal_Range_m,MHT_Difference_m,MHT_Difference_Relative,MHHT_Difference_m,MHHT_Difference_Relative,Spring_Tide_Difference_m,Spring_Tide_Difference_Relative
Pine Island,South,Pine Island - South,MA,Runnel,Pine Island - South - Runnel,2021,2015,6,0,1.221,Mesotidal,Pool,1.376,1.471,1.76,2.893,-0.155,-5.36,-0.25,-8.64,-0.539,-18.63
Plum Island - DPR,North,Plum Island - DPR - North,MA,Runnel,Plum Island - DPR - North - Runnel,2021,2016,5,1,1.507,Mesotidal,Panne,1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04
Plum Island - DPR,North,Plum Island - DPR - North,MA,Reference,Plum Island - DPR - North - Reference,2021,2016,5,1,1.495,Mesotidal,,1.293,1.405,1.971,2.893,0.202,6.98,0.09,3.11,-0.476,-16.45
Plum Island - DPR,North,Plum Island - DPR - North,MA,Runnel,Plum Island - DPR - North - Runnel,2021,2019,2,4,1.522,Mesotidal,Panne,1.293,1.405,1.971,2.893,0.229,7.92,0.117,4.04,-0.449,-15.52
Plum Island - DPR,South,Plum Island - DPR - South,MA,Reference,Plum Island - DPR - South - Reference,2021,2017,4,2,1.501,Mesotidal,,1.293,1.405,1.971,2.893,0.208,7.19,0.096,3.32,-0.47,-16.25
Plum Island - DPR,South,Plum Island - DPR - South,MA,Runnel,Plum Island - DPR - South - Runnel,2021,2017,4,2,1.528,Mesotidal,Panne,1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31
Plum Island - DPR,South,Plum Island - DPR - South,MA,No Action,Plum Island - DPR - South - No Action,2021,2017,4,2,1.494,Mesotidal,,1.293,1.405,1.971,2.893,0.201,6.95,0.089,3.08,-0.477,-16.49
Plum Island - PLHA,North,Plum Island - PLHA - North,MA,Reference,Plum Island - PLHA - North - Reference,2022,2022,0,7,1.46,Mesotidal,Pool,1.398,1.537,1.989,2.893,0.062,2.14,-0.077,-2.66,-0.529,-18.29
Plum Island - PLHA,North,Plum Island - PLHA - North,MA,Runnel,Plum Island - PLHA - North - Runnel,2022,2022,0,7,1.482,Mesotidal,Pool,1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53
Plum Island - PLHA,South,Plum Island - PLHA - South,MA,No Action,Plum Island - PLHA - South - No Action,2022,2022,0,7,1.393,Mesotidal,,1.398,1.537,1.989,2.893,-0.005,-0.17,-0.144,-4.98,-0.596,-20.6
Plum Island - PLHA,South,Plum Island - PLHA - South,MA,Reference,Plum Island - PLHA - South - Reference,2022,2022,0,7,1.451,Mesotidal,Pool,1.398,1.537,1.989,2.893,0.053,1.83,-0.086,-2.97,-0.538,-18.6
Plum Island - PLHA,South,Plum Island - PLHA - South,MA,Runnel,Plum Island - PLHA - South - Runnel,2022,2022,0,7,1.502,Mesotidal,Pool,1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83
Potters Pond,,Potters Pond,RI,Reference,Potters Pond - Reference,2021,2018,3,3,0.246,Microtidal,Pool,0.264,0.295,0.552,1.056,-0.018,-1.7,-0.049,-4.64,-0.306,-28.98
Potters Pond,,Potters Pond,RI,Runnel,Potters Pond - Runnel,2021,2018,3,3,0.174,Microtidal,Pool,0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8
Potters Pond,,Potters Pond,RI,No Action,Potters Pond - No Action,2021,2018,3,3,0.122,Microtidal,,0.264,0.295,0.552,1.056,-0.142,-13.45,-0.173,-16.38,-0.43,-40.72
Round Marsh,,Round Marsh,RI,Reference,Round Marsh - Reference,2021,2014,7,-1,0.706,Microtidal,,0.679,0.736,1.006,1.056,0.027,2.56,-0.03,-2.84,-0.3,-28.41
Round Marsh,,Round Marsh,RI,No Action,Round Marsh - No Action,2021,2014,7,-1,0.633,Microtidal,Panne,0.679,0.736,1.006,1.056,-0.046,-4.36,-0.103,-9.75,-0.373,-35.32
Round Marsh,,Round Marsh,RI,Runnel,Round Marsh - Runnel,2021,2014,7,-1,0.648,Microtidal,Panne,0.679,0.736,1.006,1.056,-0.031,-2.94,-0.088,-8.33,-0.358,-33.9
Sapowet,North,Sapowet - North,RI,Runnel,Sapowet - North - Runnel,2022,2018,4,3,0.626,Microtidal,Pool,0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98
Sapowet,North,Sapowet - North,RI,Reference,Sapowet - North - Reference,2022,2018,4,3,0.615,Microtidal,,0.543,0.624,0.932,1.056,0.072,6.82,-0.009,-0.85,-0.317,-30.02
Sapowet,South,Sapowet - South,RI,No Action,Sapowet - South - No Action,2022,2022,0,7,0.666,Microtidal,Pool,0.543,0.624,0.932,1.056,0.123,11.65,0.042,3.98,-0.266,-25.19
Sapowet,South,Sapowet - South,RI,Runnel,Sapowet - South - Runnel,2022,2022,0,7,0.668,Microtidal,Pool,0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25
Weekapaug,,Weekapaug,RI,Runnel,Weekapaug - Runnel,2021,2017,4,2,0.199,Microtidal,Pool,0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65
Weekapaug,,Weekapaug,RI,No Action,Weekapaug - No Action,2021,2017,4,2,0.175,Microtidal,,0.377,0.437,0.755,1.056,-0.202,-19.13,-0.262,-24.81,-0.58,-54.92
Weekapaug,,Weekapaug,RI,Reference,Weekapaug - Reference,2021,2017,4,2,0.245,Microtidal,Pool,0.377,0.437,0.755,1.056,-0.132,-12.5,-0.192,-18.18,-0.51,-48.3
Winnapaug,,Winnapaug,RI,Runnel,Winnapaug - Runnel,2021,2013,8,-2,0.226,Microtidal,Pool,0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09
Winnapaug,,Winnapaug,RI,No Action,Winnapaug - No Action,2021,2013,8,-2,0.203,Microtidal,,0.387,0.446,0.755,1.056,-0.184,-17.42,-0.243,-23.01,-0.552,-52.27
Winnapaug,,Winnapaug,RI,Reference,Winnapaug - Reference,2021,2013,8,-2,0.252,Microtidal,,0.387,0.446,0.755,1.056,-0.135,-12.78,-0.194,-18.37,-0.503,-47.63
Old Town Hill,,Old Town Hill,MA,Runnel,Old Town Hill - Runnel,2022,2020,2,5,1.366,Mesotidal,Panne,1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69
Old Town Hill,,Old Town Hill,MA,Reference,Old Town Hill - Reference,2022,2020,2,5,1.485,Mesotidal,,1.388,1.495,1.762,2.893,0.097,-0.01,-0.277,3.35,-0.35,-9.57
Old Town Hill,,Old Town Hill,MA,No Action,Old Town Hill - No Action,2022,2020,2,5,1.349,Mesotidal,,1.388,1.495,1.762,2.893,-0.039,-0.146,-0.413,-1.35,-5.05,-14.28
